Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4641017873371706
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6125159417740446
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6222379390899934
STATEN ISLAND,Staten Island,55to64,55 to 64,0.4172538938454559
STATEN ISLAND,Staten Island,45to54,45 to 54,0.2854360157077853
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2304052455470308
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1698264806316538
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1067249901823084
STATEN ISLAND,Staten Island,%all%,%all%,0.327804048013472
QUEENS,Queens,85andUp,85+,0.394904071454928
QUEENS,Queens,75to84,75 to 84,0.4976132819711682
QUEENS,Queens,65to74,65 to 74,0.5439105974618514
QUEENS,Queens,55to64,55 to 64,0.3731549114780189
QUEENS,Queens,45to54,45 to 54,0.2723574460570959
QUEENS,Queens,35to44,35 to 44,0.2345231229483228
QUEENS,Queens,25to34,25 to 34,0.183325080859533
QUEENS,Queens,18to24,18 to 24,0.1099664289138425
QUEENS,Queens,%all%,%all%,0.2975462447673627
MANHATTAN,Manhattan,85andUp,85+,0.5184852933681668
MANHATTAN,Manhattan,75to84,75 to 84,0.6506334795153526
MANHATTAN,Manhattan,65to74,65 to 74,0.6619784921202018
MANHATTAN,Manhattan,55to64,55 to 64,0.4633643523683564
MANHATTAN,Manhattan,45to54,45 to 54,0.3330844579614526
MANHATTAN,Manhattan,35to44,35 to 44,0.2817802001606599
MANHATTAN,Manhattan,25to34,25 to 34,0.2414713886311602
MANHATTAN,Manhattan,18to24,18 to 24,0.1660493002011768
MANHATTAN,Manhattan,%all%,%all%,0.3605404219526243
BROOKLYN,Brooklyn,85andUp,85+,0.3216555511965477
BROOKLYN,Brooklyn,75to84,75 to 84,0.4389326932993316
BROOKLYN,Brooklyn,65to74,65 to 74,0.478936278496787
BROOKLYN,Brooklyn,55to64,55 to 64,0.3193798449612404
BROOKLYN,Brooklyn,45to54,45 to 54,0.2414732907646784
BROOKLYN,Brooklyn,35to44,35 to 44,0.2090472811785936
BROOKLYN,Brooklyn,25to34,25 to 34,0.1769037169098015
BROOKLYN,Brooklyn,18to24,18 to 24,0.0885348419625677
BROOKLYN,Brooklyn,%all%,%all%,0.253358988512682
THE BRONX,Bronx,85andUp,85+,0.3573498481050209
THE BRONX,Bronx,75to84,75 to 84,0.4894573513033244
THE BRONX,Bronx,65to74,65 to 74,0.5516293355525452
THE BRONX,Bronx,55to64,55 to 64,0.3843862540286954
THE BRONX,Bronx,45to54,45 to 54,0.2576062364080105
THE BRONX,Bronx,35to44,35 to 44,0.1844801324216818
THE BRONX,Bronx,25to34,25 to 34,0.1141763185732747
THE BRONX,Bronx,18to24,18 to 24,0.0655724336788951
THE BRONX,Bronx,%all%,%all%,0.2534423193047419
%all%,%all%,85andUp,85+,0.3997865182353665
%all%,%all%,75to84,75 to 84,0.521095491412089
%all%,%all%,65to74,65 to 74,0.5554003575428322
%all%,%all%,55to64,55 to 64,0.3789515939800825
%all%,%all%,45to54,45 to 54,0.2732152045498095
%all%,%all%,35to44,35 to 44,0.2280408406675662
%all%,%all%,25to34,25 to 34,0.1842172839639307
%all%,%all%,18to24,18 to 24,0.1061999410162576
%all%,%all%,%all%,%all%,0.2920410257439983
