Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.2799784905348574
Latino,Latino,STATEN ISLAND,Staten Island,0.169963229053486
Black,Black,STATEN ISLAND,Staten Island,0.1621695358966086
Asian,Asian,STATEN ISLAND,Staten Island,0.3414352059300313
White,White,QUEENS,Queens,0.2489318614618958
Latino,Latino,QUEENS,Queens,0.1683687034141196
Black,Black,QUEENS,Queens,0.1485896969546622
Asian,Asian,QUEENS,Queens,0.3172433827550834
White,White,MANHATTAN,Manhattan,0.3452635458159519
Latino,Latino,MANHATTAN,Manhattan,0.2080901114505481
Black,Black,MANHATTAN,Manhattan,0.1959363503806755
Asian,Asian,MANHATTAN,Manhattan,0.2853062203464263
White,White,BROOKLYN,Brooklyn,0.2337034069504675
Latino,Latino,BROOKLYN,Brooklyn,0.1517556054725252
Black,Black,BROOKLYN,Brooklyn,0.1507825040164234
Asian,Asian,BROOKLYN,Brooklyn,0.2937281307736765
White,White,THE BRONX,Bronx,0.2691170152562051
Latino,Latino,THE BRONX,Bronx,0.147862832108409
Black,Black,THE BRONX,Bronx,0.1547342850724327
Asian,Asian,THE BRONX,Bronx,0.2830248978411128
White,White,%all%,%all%,0.2776282804552267
Latino,Latino,%all%,%all%,0.1656894705093854
Black,Black,%all%,%all%,0.1566009903331076
Asian,Asian,%all%,%all%,0.3050851714484738
