Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.3081478363641935
STATEN ISLAND,Staten Island,F,Female,0.3428479287291649
QUEENS,Queens,M,Male,0.2744460766991834
QUEENS,Queens,F,Female,0.3081569341088391
MANHATTAN,Manhattan,M,Male,0.3376611271856536
MANHATTAN,Manhattan,F,Female,0.3728659585853738
BROOKLYN,Brooklyn,M,Male,0.2323539775656805
BROOKLYN,Brooklyn,F,Female,0.2629227249769757
THE BRONX,Bronx,M,Male,0.2394964127296693
THE BRONX,Bronx,F,Female,0.2636042217536786
%all%,%all%,M,Male,0.2716415004082886
%all%,%all%,F,Female,0.3025126416827002
