Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2834633456824503
Latino,Latino,STATEN ISLAND,Staten Island,0.1726911708296667
Black,Black,STATEN ISLAND,Staten Island,0.161545175801795
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.3936924790433202
White,White,QUEENS,Queens,0.2937336133646876
Latino,Latino,QUEENS,Queens,0.2068818318212817
Black,Black,QUEENS,Queens,0.1697002281516231
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3854695033103742
White,White,MANHATTAN,Manhattan,0.4236583876691512
Latino,Latino,MANHATTAN,Manhattan,0.2484769225956184
Black,Black,MANHATTAN,Manhattan,0.229144496879875
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.4159782003309954
White,White,BROOKLYN,Brooklyn,0.260964996154124
Latino,Latino,BROOKLYN,Brooklyn,0.177818346465321
Black,Black,BROOKLYN,Brooklyn,0.1638163828215181
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3548973946204461
White,White,THE BRONX,Bronx,0.3044621935012336
Latino,Latino,THE BRONX,Bronx,0.1633190108659339
Black,Black,THE BRONX,Bronx,0.1697634738849147
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3111076520348461
White,White,%all%,%all%,0.3187004656268364
Latino,Latino,%all%,%all%,0.1923596812992297
Black,Black,%all%,%all%,0.1735719512248555
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3794074780203656
