Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-21,5/21,18654,18654
2021-05-20,5/20,34886,34886
2021-05-19,5/19,49401,49401
2021-05-18,5/18,49921,49921
2021-05-17,5/17,46811,46811
2021-05-16,5/16,28601,28601
2021-05-15,5/15,59576,59576
2021-05-14,5/14,68956,68956
2021-05-13,5/13,61644,61644
2021-05-12,5/12,53890,53890
2021-05-11,5/11,58838,58838
2021-05-10,5/10,52713,52713
2021-05-09,5/9,36624,36624
2021-05-08,5/8,57324,57324
2021-05-07,5/7,71940,71940
2021-05-06,5/6,68889,68889
2021-05-05,5/5,67210,67210
2021-05-04,5/4,76456,76456
2021-05-03,5/3,71509,71509
2021-05-02,5/2,49221,49221
2021-05-01,5/1,66226,66226
2021-04-30,4/30,69480,69480
2021-04-29,4/29,70910,70910
2021-04-28,4/28,68343,68343
2021-04-27,4/27,62712,62712
2021-04-26,4/26,53406,53406
2021-04-25,4/25,39627,39627
2021-04-24,4/24,67413,67413
2021-04-23,4/23,74464,74464
2021-04-22,4/22,77865,77865
2021-04-21,4/21,73523,73523
2021-04-20,4/20,72590,72590
2021-04-19,4/19,69133,69133
2021-04-18,4/18,47158,47158
2021-04-17,4/17,76543,76543
2021-04-16,4/16,90353,90353
2021-04-15,4/15,92592,92592
2021-04-14,4/14,87080,87080
2021-04-13,4/13,83456,83456
2021-04-12,4/12,86294,86294
2021-04-11,4/11,69836,69836
2021-04-10,4/10,93889,93889
2021-04-09,4/9,113819,113819
2021-04-08,4/8,116287,116287
2021-04-07,4/7,105062,105062
2021-04-06,4/6,97745,97745
2021-04-05,4/5,84485,84485
2021-04-04,4/4,52426,52426
2021-04-03,4/3,86521,86521
2021-04-02,4/2,107478,107478
2021-04-01,4/1,113816,113816
2021-03-31,3/31,99664,99664
2021-03-30,3/30,84296,84296
2021-03-29,3/29,74711,74711
2021-03-28,3/28,60423,60423
2021-03-27,3/27,81981,81981
2021-03-26,3/26,95543,95543
2021-03-25,3/25,96666,96666
2021-03-24,3/24,81912,81912
2021-03-23,3/23,73535,73535
2021-03-22,3/22,62936,62936
2021-03-21,3/21,48398,48398
2021-03-20,3/20,67630,67630
2021-03-19,3/19,81552,81552
2021-03-18,3/18,80932,80932
2021-03-17,3/17,69971,69971
2021-03-16,3/16,62306,62306
2021-03-15,3/15,54096,54096
2021-03-14,3/14,50570,50570
2021-03-13,3/13,71772,71772
2021-03-12,3/12,84898,84898
2021-03-11,3/11,84888,84888
2021-03-10,3/10,70558,70558
2021-03-09,3/9,58510,58510
2021-03-08,3/8,62206,62206
2021-03-07,3/7,56690,56690
2021-03-06,3/6,70642,70642
2021-03-05,3/5,87088,87088
2021-03-04,3/4,82394,82394
2021-03-03,3/3,63473,63473
2021-03-02,3/2,58426,58426
2021-03-01,3/1,50918,50918
2021-02-28,2/28,57973,57973
2021-02-27,2/27,73218,73218
2021-02-26,2/26,93438,93438
2021-02-25,2/25,83603,83603
2021-02-24,2/24,55613,55613
2021-02-23,2/23,38668,38668
2021-02-22,2/22,24248,24248
2021-02-21,2/21,23555,23555
2021-02-20,2/20,36995,36995
2021-02-19,2/19,36569,36569
2021-02-18,2/18,36517,36517
2021-02-17,2/17,37687,37687
2021-02-16,2/16,40196,40196
2021-02-15,2/15,22781,22781
2021-02-14,2/14,39603,39603
2021-02-13,2/13,52696,52696
2021-02-12,2/12,68328,68328
2021-02-11,2/11,60513,60513
2021-02-10,2/10,48000,48000
2021-02-09,2/9,44516,44516
2021-02-08,2/8,39742,39742
2021-02-07,2/7,20117,20117
2021-02-06,2/6,33781,33781
2021-02-05,2/5,46709,46709
2021-02-04,2/4,45755,45755
2021-02-03,2/3,36752,36752
2021-02-02,2/2,11989,11989
2021-02-01,2/1,6335,6335
2021-01-31,1/31,15615,15615
2021-01-30,1/30,22013,22013
2021-01-29,1/29,42581,42581
2021-01-28,1/28,41846,41846
2021-01-27,1/27,32450,32450
2021-01-26,1/26,26884,26884
2021-01-25,1/25,24325,24325
2021-01-24,1/24,10333,10333
2021-01-23,1/23,18497,18497
2021-01-22,1/22,28512,28512
2021-01-21,1/21,33069,33069
2021-01-20,1/20,43765,43765
2021-01-19,1/19,43311,43311
2021-01-18,1/18,29098,29098
2021-01-17,1/17,25283,25283
2021-01-16,1/16,32303,32303
2021-01-15,1/15,32378,32378
2021-01-14,1/14,40705,40705
2021-01-13,1/13,40668,40668
2021-01-12,1/12,35607,35607
2021-01-11,1/11,32926,32926
2021-01-10,1/10,8792,8792
2021-01-09,1/9,9088,9088
2021-01-08,1/8,21807,21807
2021-01-07,1/7,21510,21510
2021-01-06,1/6,21532,21532
2021-01-05,1/5,16043,16043
2021-01-04,1/4,12971,12971
2021-01-03,1/3,3545,3545
2021-01-02,1/2,3812,3812
2021-01-01,1/1,165,165
2020-12-31,12/31,7236,7236
2020-12-30,12/30,12817,12817
2020-12-29,12/29,10728,10728
2020-12-28,12/28,10980,10980
2020-12-27,12/27,3839,3839
2020-12-26,12/26,4352,4352
2020-12-25,12/25,179,179
2020-12-24,12/24,7242,7242
2020-12-23,12/23,14250,14250
2020-12-22,12/22,9755,9755
2020-12-21,12/21,6272,6272
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1686,1686
2020-12-18,12/18,5786,5786
2020-12-17,12/17,4496,4496
2020-12-16,12/16,4514,4514
2020-12-15,12/15,2040,2040
2020-12-14,12/14,77,77
