Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.317243056706064
Latino,Latino,STATEN ISLAND,Staten Island,0.2185405807892778
Black,Black,STATEN ISLAND,Staten Island,0.1966831539132965
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4943822420227838
White,White,QUEENS,Queens,0.3388101407175427
Latino,Latino,QUEENS,Queens,0.2714348790932965
Black,Black,QUEENS,Queens,0.2051392402806118
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4870412666623464
White,White,MANHATTAN,Manhattan,0.4878668070286844
Latino,Latino,MANHATTAN,Manhattan,0.3076926178398769
Black,Black,MANHATTAN,Manhattan,0.2741619908200138
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5360868037967138
White,White,BROOKLYN,Brooklyn,0.3098809265798901
Latino,Latino,BROOKLYN,Brooklyn,0.2298818017734903
Black,Black,BROOKLYN,Brooklyn,0.2010830552728936
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.471434599815576
White,White,THE BRONX,Bronx,0.3384814505778464
Latino,Latino,THE BRONX,Bronx,0.202749578353575
Black,Black,THE BRONX,Bronx,0.1997785826728573
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3751140424107662
White,White,%all%,%all%,0.3688563954338145
Latino,Latino,%all%,%all%,0.2444922614798708
Black,Black,%all%,%all%,0.2095902835285303
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4861078011286904
