Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.1983073132386999
Latino,Latino,STATEN ISLAND,Staten Island,0.0941356980076265
Black,Black,STATEN ISLAND,Staten Island,0.0973568183344151
Asian,Asian,STATEN ISLAND,Staten Island,0.212640862322391
White,White,QUEENS,Queens,0.1851165638653726
Latino,Latino,QUEENS,Queens,0.1048900851351485
Black,Black,QUEENS,Queens,0.1041669196240324
Asian,Asian,QUEENS,Queens,0.2181348844550907
White,White,MANHATTAN,Manhattan,0.2739974238874266
Latino,Latino,MANHATTAN,Manhattan,0.1472620198516022
Black,Black,MANHATTAN,Manhattan,0.1420309687685764
Asian,Asian,MANHATTAN,Manhattan,0.2121250956928831
White,White,BROOKLYN,Brooklyn,0.156892617192978
Latino,Latino,BROOKLYN,Brooklyn,0.095449668064977
Black,Black,BROOKLYN,Brooklyn,0.0984005279861588
Asian,Asian,BROOKLYN,Brooklyn,0.1847099421106573
White,White,THE BRONX,Bronx,0.2048031158686667
Latino,Latino,THE BRONX,Bronx,0.0942565197169604
Black,Black,THE BRONX,Bronx,0.1057364219861629
Asian,Asian,THE BRONX,Bronx,0.1916802873508158
White,White,%all%,%all%,0.2028858572932793
Latino,Latino,%all%,%all%,0.1062110340445372
Black,Black,%all%,%all%,0.1060975502889616
Asian,Asian,%all%,%all%,0.2070050577975872
