Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.1801351408542925
Latino,Latino,STATEN ISLAND,Staten Island,0.0842677529228846
Black,Black,STATEN ISLAND,Staten Island,0.0897633836475629
Asian,Asian,STATEN ISLAND,Staten Island,0.1655903235124788
White,White,QUEENS,Queens,0.1492117876298891
Latino,Latino,QUEENS,Queens,0.0764625215430801
Black,Black,QUEENS,Queens,0.0728317974951994
Asian,Asian,QUEENS,Queens,0.1494208547687696
White,White,MANHATTAN,Manhattan,0.2191929829447972
Latino,Latino,MANHATTAN,Manhattan,0.1170518251766012
Black,Black,MANHATTAN,Manhattan,0.1143924893236563
Asian,Asian,MANHATTAN,Manhattan,0.1477321465760895
White,White,BROOKLYN,Brooklyn,0.1322240595927104
Latino,Latino,BROOKLYN,Brooklyn,0.0691217306414526
Black,Black,BROOKLYN,Brooklyn,0.0719231055683473
Asian,Asian,BROOKLYN,Brooklyn,0.1275048361814492
White,White,THE BRONX,Bronx,0.1938463475547922
Latino,Latino,THE BRONX,Bronx,0.0867698259994374
Black,Black,THE BRONX,Bronx,0.0968532051348093
Asian,Asian,THE BRONX,Bronx,0.1733408901099074
White,White,%all%,%all%,0.170437442660745
Latino,Latino,%all%,%all%,0.085940146319944
Black,Black,%all%,%all%,0.0828663635164998
Asian,Asian,%all%,%all%,0.1453316933374615
