Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.1802787572836675
STATEN ISLAND,Staten Island,F,Female,0.2097749474350327
QUEENS,Queens,M,Male,0.1401885881786879
QUEENS,Queens,F,Female,0.163421172973749
MANHATTAN,Manhattan,M,Male,0.1969805523782525
MANHATTAN,Manhattan,F,Female,0.2314523859095907
BROOKLYN,Brooklyn,M,Male,0.1174998615965771
BROOKLYN,Brooklyn,F,Female,0.1379745297225472
THE BRONX,Bronx,M,Male,0.1506642577310813
THE BRONX,Bronx,F,Female,0.1684782196424155
%all%,%all%,M,Male,0.1492893908697436
%all%,%all%,F,Female,0.1733050229228701
