Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3398970009088156
STATEN ISLAND,Staten Island,75to84,75 to 84,0.4305378424732838
STATEN ISLAND,Staten Island,65to74,65 to 74,0.4264343427848861
STATEN ISLAND,Staten Island,55to64,55 to 64,0.209088159685468
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1576232624820794
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1334031838307365
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1001406078585887
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0503376961251937
STATEN ISLAND,Staten Island,%all%,%all%,0.1966057877360855
QUEENS,Queens,85andUp,85+,0.2508077655956447
QUEENS,Queens,75to84,75 to 84,0.305432920321429
QUEENS,Queens,65to74,65 to 74,0.3132056532174536
QUEENS,Queens,55to64,55 to 64,0.1588721648742018
QUEENS,Queens,45to54,45 to 54,0.1287395740196073
QUEENS,Queens,35to44,35 to 44,0.1175467117286581
QUEENS,Queens,25to34,25 to 34,0.0976005020060233
QUEENS,Queens,18to24,18 to 24,0.0525050493835532
QUEENS,Queens,%all%,%all%,0.1536011769128966
MANHATTAN,Manhattan,85andUp,85+,0.402705561288133
MANHATTAN,Manhattan,75to84,75 to 84,0.5195118990584546
MANHATTAN,Manhattan,65to74,65 to 74,0.5006260974288564
MANHATTAN,Manhattan,55to64,55 to 64,0.2175601769332651
MANHATTAN,Manhattan,45to54,45 to 54,0.1678079716637989
MANHATTAN,Manhattan,35to44,35 to 44,0.1507371880751729
MANHATTAN,Manhattan,25to34,25 to 34,0.1337468573925522
MANHATTAN,Manhattan,18to24,18 to 24,0.0736800797120032
MANHATTAN,Manhattan,%all%,%all%,0.2169172779526512
BROOKLYN,Brooklyn,85andUp,85+,0.2036288740682621
BROOKLYN,Brooklyn,75to84,75 to 84,0.2733988993165262
BROOKLYN,Brooklyn,65to74,65 to 74,0.2853269787816955
BROOKLYN,Brooklyn,55to64,55 to 64,0.1383344707508706
BROOKLYN,Brooklyn,45to54,45 to 54,0.1129175328236832
BROOKLYN,Brooklyn,35to44,35 to 44,0.1022051141664758
BROOKLYN,Brooklyn,25to34,25 to 34,0.0859776062088201
BROOKLYN,Brooklyn,18to24,18 to 24,0.0381277221582275
BROOKLYN,Brooklyn,%all%,%all%,0.1296497591854917
THE BRONX,Bronx,85andUp,85+,0.263229303279632
THE BRONX,Bronx,75to84,75 to 84,0.3498320197139554
THE BRONX,Bronx,65to74,65 to 74,0.3811101916685633
THE BRONX,Bronx,55to64,55 to 64,0.2180295663839242
THE BRONX,Bronx,45to54,45 to 54,0.1557986787872582
THE BRONX,Bronx,35to44,35 to 44,0.1157542095982855
THE BRONX,Bronx,25to34,25 to 34,0.0736392522114041
THE BRONX,Bronx,18to24,18 to 24,0.0339887512823968
THE BRONX,Bronx,%all%,%all%,0.1607595716704834
%all%,%all%,85andUp,85+,0.2779510221417475
%all%,%all%,75to84,75 to 84,0.3585631395773881
%all%,%all%,65to74,65 to 74,0.3608942744454261
%all%,%all%,55to64,55 to 64,0.176684038388987
%all%,%all%,45to54,45 to 54,0.1379153709754136
%all%,%all%,35to44,35 to 44,0.1200301520090491
%all%,%all%,25to34,25 to 34,0.0991238788999656
%all%,%all%,18to24,18 to 24,0.0488313107377388
%all%,%all%,%all%,%all%,0.1632193291929716
