Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3465954173554151
Latino,Latino,STATEN ISLAND,Staten Island,0.2448785928741353
Black,Black,STATEN ISLAND,Staten Island,0.2143900914249089
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4898955531361402
White,White,QUEENS,Queens,0.3472122221370309
Latino,Latino,QUEENS,Queens,0.2735072659345385
Black,Black,QUEENS,Queens,0.2096021001660838
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4680754222108062
White,White,MANHATTAN,Manhattan,0.4741077931504846
Latino,Latino,MANHATTAN,Manhattan,0.3068451004959912
Black,Black,MANHATTAN,Manhattan,0.2737864619132705
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.4645361489511348
White,White,BROOKLYN,Brooklyn,0.3361999468207467
Latino,Latino,BROOKLYN,Brooklyn,0.2375779256347004
Black,Black,BROOKLYN,Brooklyn,0.2056989573000181
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4434990194929815
White,White,THE BRONX,Bronx,0.3608069970225282
Latino,Latino,THE BRONX,Bronx,0.2227508688573756
Black,Black,THE BRONX,Bronx,0.2200925384072505
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3917678601645575
White,White,%all%,%all%,0.3830312045549886
Latino,Latino,%all%,%all%,0.2550457532706296
Black,Black,%all%,%all%,0.2177575394792679
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.458715335182553
