Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5419,4585,0.547207916792891
STATEN ISLAND,Staten Island,75to84,75 to 84,16078,13678,0.707067153348872
STATEN ISLAND,Staten Island,65to74,65 to 74,34373,28807,0.736685312587068
STATEN ISLAND,Staten Island,55to64,55 to 64,39616,27988,0.599062452744594
STATEN ISLAND,Staten Island,45to54,45 to 54,29973,18948,0.4670728666708222
STATEN ISLAND,Staten Island,35to44,35 to 44,22957,14046,0.3879575489235137
STATEN ISLAND,Staten Island,25to34,25 to 34,19371,11309,0.2993093218374821
STATEN ISLAND,Staten Island,18to24,18 to 24,9974,4438,0.2514112073874219
STATEN ISLAND,Staten Island,%all%,%all%,177761,123799,0.4763564195585794
QUEENS,Queens,85andUp,85+,24911,20535,0.4825357003979846
QUEENS,Queens,75to84,75 to 84,66367,54740,0.604733491138791
QUEENS,Queens,65to74,65 to 74,141428,114541,0.6775789935331786
QUEENS,Queens,55to64,55 to 64,177222,119504,0.5872487809643508
QUEENS,Queens,45to54,45 to 54,150218,90583,0.4983251218840796
QUEENS,Queens,35to44,35 to 44,137334,79315,0.445009375580095
QUEENS,Queens,25to34,25 to 34,130276,72358,0.3593839174487476
QUEENS,Queens,18to24,18 to 24,46170,21621,0.2642422204097069
QUEENS,Queens,%all%,%all%,873926,573197,0.4804010454854794
MANHATTAN,Manhattan,85andUp,85+,23447,20571,0.5887415697420412
MANHATTAN,Manhattan,75to84,75 to 84,61683,55153,0.7202753982832696
MANHATTAN,Manhattan,65to74,65 to 74,110562,97244,0.748016414183594
MANHATTAN,Manhattan,55to64,55 to 64,121236,87267,0.6667035440746506
MANHATTAN,Manhattan,45to54,45 to 54,111655,69141,0.5780224919364944
MANHATTAN,Manhattan,35to44,35 to 44,122410,70604,0.5277504559758006
MANHATTAN,Manhattan,25to34,25 to 34,178220,94791,0.4956924932830216
MANHATTAN,Manhattan,18to24,18 to 24,59576,26654,0.4137585473581206
MANHATTAN,Manhattan,%all%,%all%,788789,521425,0.570035856739718
BROOKLYN,Brooklyn,85andUp,85+,20212,16202,0.3964692036092585
BROOKLYN,Brooklyn,75to84,75 to 84,57083,45929,0.5351815565201902
BROOKLYN,Brooklyn,65to74,65 to 74,124166,99047,0.5905832774456224
BROOKLYN,Brooklyn,55to64,55 to 64,140564,93601,0.491938334470751
BROOKLYN,Brooklyn,45to54,45 to 54,127320,76001,0.4310584156605703
BROOKLYN,Brooklyn,35to44,35 to 44,144016,80545,0.4022950618180599
BROOKLYN,Brooklyn,25to34,25 to 34,168790,88666,0.3590963341495742
BROOKLYN,Brooklyn,18to24,18 to 24,43685,19927,0.2101980745181941
BROOKLYN,Brooklyn,%all%,%all%,825836,519918,0.416071869736256
THE BRONX,Bronx,85andUp,85+,11661,9759,0.4383145659779793
THE BRONX,Bronx,75to84,75 to 84,34366,28615,0.5936365390820556
THE BRONX,Bronx,65to74,65 to 74,72162,58808,0.6849049571944728
THE BRONX,Bronx,55to64,55 to 64,96650,68655,0.5913775879383234
THE BRONX,Bronx,45to54,45 to 54,77315,51209,0.4445025591511445
THE BRONX,Bronx,35to44,35 to 44,59578,37940,0.3324850207042066
THE BRONX,Bronx,25to34,25 to 34,47644,29482,0.2099747760105415
THE BRONX,Bronx,18to24,18 to 24,21613,11078,0.1560983598526224
THE BRONX,Bronx,%all%,%all%,420989,295546,0.3927962676176458
%all%,%all%,85andUp,85+,85650,71652,0.478657412064514
%all%,%all%,75to84,75 to 84,235577,198115,0.6156066023789464
%all%,%all%,65to74,65 to 74,482691,398447,0.6715280434616268
%all%,%all%,55to64,55 to 64,575288,397015,0.5759074363815402
%all%,%all%,45to54,45 to 54,496481,305882,0.482917301745864
%all%,%all%,35to44,35 to 44,486295,282450,0.4277354504242215
%all%,%all%,25to34,25 to 34,544301,296606,0.3668540586736259
%all%,%all%,18to24,18 to 24,181018,83718,0.2568830632700962
%all%,%all%,%all%,%all%,3087301,2033885,0.4654670660538032
