Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3936219243558489
Latino,Latino,STATEN ISLAND,Staten Island,0.2997897899529539
Black,Black,STATEN ISLAND,Staten Island,0.2619066288383452
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6087764185482673
White,White,QUEENS,Queens,0.3814694201831183
Latino,Latino,QUEENS,Queens,0.3212750596297566
Black,Black,QUEENS,Queens,0.236018718726601
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.559561115715792
White,White,MANHATTAN,Manhattan,0.5365964092619306
Latino,Latino,MANHATTAN,Manhattan,0.3565911403751345
Black,Black,MANHATTAN,Manhattan,0.3236071807824074
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5845109697440382
White,White,BROOKLYN,Brooklyn,0.385953272773534
Latino,Latino,BROOKLYN,Brooklyn,0.2856924513602954
Black,Black,BROOKLYN,Brooklyn,0.24163900989167
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5615044431278692
White,White,THE BRONX,Bronx,0.3882499116502488
Latino,Latino,THE BRONX,Bronx,0.261302597974241
Black,Black,THE BRONX,Bronx,0.2516158725609219
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4592426251734226
White,White,%all%,%all%,0.4320032430125681
Latino,Latino,%all%,%all%,0.3005076158906737
Black,Black,%all%,%all%,0.2524308820779761
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5619520313908628
