Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3971064887805436
Latino,Latino,STATEN ISLAND,Staten Island,0.3090459280524217
Black,Black,STATEN ISLAND,Staten Island,0.2653899840246685
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.624880969281437
White,White,QUEENS,Queens,0.3951634848312051
Latino,Latino,QUEENS,Queens,0.3423289337525729
Black,Black,QUEENS,Queens,0.2468092870870598
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.58701127601977
White,White,MANHATTAN,Manhattan,0.5499878752557528
Latino,Latino,MANHATTAN,Manhattan,0.3688911520647642
Black,Black,MANHATTAN,Manhattan,0.3295519024643412
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.609067703681227
White,White,BROOKLYN,Brooklyn,0.400287187747836
Latino,Latino,BROOKLYN,Brooklyn,0.3022546534968556
Black,Black,BROOKLYN,Brooklyn,0.2509750550290256
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5924229289249878
White,White,THE BRONX,Bronx,0.3973418282054225
Latino,Latino,THE BRONX,Bronx,0.2705207885200413
Black,Black,THE BRONX,Bronx,0.2564440262813371
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4717347222170672
White,White,%all%,%all%,0.4445298666682128
Latino,Latino,%all%,%all%,0.3148640512705304
Black,Black,%all%,%all%,0.2605886678145496
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5886264409415356
