Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6625,6625
2020-12-17,12/17,11118,11118
2020-12-18,12/18,16904,16904
2020-12-19,12/19,18589,18589
2020-12-20,12/20,19693,19693
2020-12-21,12/21,25965,25965
2020-12-22,12/22,35714,35714
2020-12-23,12/23,49958,49958
2020-12-24,12/24,57194,57194
2020-12-25,12/25,57373,57373
2020-12-26,12/26,61721,61721
2020-12-27,12/27,65558,65558
2020-12-28,12/28,76503,76503
2020-12-29,12/29,87176,87176
2020-12-30,12/30,99971,99971
2020-12-31,12/31,107204,107204
2021-01-01,1/1,107368,107368
2021-01-02,1/2,111173,111173
2021-01-03,1/3,114714,114714
2021-01-04,1/4,127677,127677
2021-01-05,1/5,143697,143697
2021-01-06,1/6,165197,165197
2021-01-07,1/7,186632,186632
2021-01-08,1/8,208432,208432
2021-01-09,1/9,217519,217519
2021-01-10,1/10,226296,226296
2021-01-11,1/11,259200,259200
2021-01-12,1/12,294821,294821
2021-01-13,1/13,335617,335617
2021-01-14,1/14,376330,376330
2021-01-15,1/15,408687,408687
2021-01-16,1/16,440975,440975
2021-01-17,1/17,466261,466261
2021-01-18,1/18,495338,495338
2021-01-19,1/19,538550,538550
2021-01-20,1/20,582392,582392
2021-01-21,1/21,615452,615452
2021-01-22,1/22,643948,643948
2021-01-23,1/23,662439,662439
2021-01-24,1/24,672779,672779
2021-01-25,1/25,696793,696793
2021-01-26,1/26,723670,723670
2021-01-27,1/27,756135,756135
2021-01-28,1/28,797956,797956
2021-01-29,1/29,840539,840539
2021-01-30,1/30,862473,862473
2021-01-31,1/31,878084,878084
2021-02-01,2/1,884409,884409
2021-02-02,2/2,896359,896359
2021-02-03,2/3,932939,932939
2021-02-04,2/4,978752,978752
2021-02-05,2/5,1025324,1025324
2021-02-06,2/6,1058985,1058985
2021-02-07,2/7,1078993,1078993
2021-02-08,2/8,1118611,1118611
2021-02-09,2/9,1163210,1163210
2021-02-10,2/10,1211049,1211049
2021-02-11,2/11,1271411,1271411
2021-02-12,2/12,1339216,1339216
2021-02-13,2/13,1391421,1391421
2021-02-14,2/14,1430861,1430861
2021-02-15,2/15,1453395,1453395
2021-02-16,2/16,1493360,1493360
2021-02-17,2/17,1530764,1530764
2021-02-18,2/18,1566747,1566747
2021-02-19,2/19,1603094,1603094
2021-02-20,2/20,1640032,1640032
2021-02-21,2/21,1663624,1663624
2021-02-22,2/22,1687792,1687792
2021-02-23,2/23,1726367,1726367
2021-02-24,2/24,1781952,1781952
2021-02-25,2/25,1865478,1865478
2021-02-26,2/26,1958560,1958560
2021-02-27,2/27,2031714,2031714
2021-02-28,2/28,2089568,2089568
2021-03-01,3/1,2140204,2140204
2021-03-02,3/2,2198397,2198397
2021-03-03,3/3,2261663,2261663
2021-03-04,3/4,2343580,2343580
2021-03-05,3/5,2429771,2429771
2021-03-06,3/6,2499956,2499956
2021-03-07,3/7,2556277,2556277
2021-03-08,3/8,2617959,2617959
2021-03-09,3/9,2676031,2676031
2021-03-10,3/10,2746190,2746190
2021-03-11,3/11,2830021,2830021
2021-03-12,3/12,2914118,2914118
2021-03-13,3/13,2985144,2985144
2021-03-14,3/14,3034948,3034948
2021-03-15,3/15,3088795,3088795
2021-03-16,3/16,3150756,3150756
2021-03-17,3/17,3220542,3220542
2021-03-18,3/18,3301133,3301133
2021-03-19,3/19,3382051,3382051
2021-03-20,3/20,3449030,3449030
2021-03-21,3/21,3497138,3497138
2021-03-22,3/22,3559932,3559932
2021-03-23,3/23,3633269,3633269
2021-03-24,3/24,3714911,3714911
2021-03-25,3/25,3810945,3810945
2021-03-26,3/26,3906051,3906051
2021-03-27,3/27,3987668,3987668
2021-03-28,3/28,4047971,4047971
2021-03-29,3/29,4122362,4122362
2021-03-30,3/30,4206342,4206342
2021-03-31,3/31,4305700,4305700
2021-04-01,4/1,4418751,4418751
2021-04-02,4/2,4525301,4525301
2021-04-03,4/3,4610340,4610340
2021-04-04,4/4,4662141,4662141
2021-04-05,4/5,4745756,4745756
2021-04-06,4/6,4842484,4842484
2021-04-07,4/7,4945853,4945853
2021-04-08,4/8,5061052,5061052
2021-04-09,4/9,5173803,5173803
2021-04-10,4/10,5266902,5266902
2021-04-11,4/11,5329552,5329552
2021-04-12,4/12,5407965,5407965
2021-04-13,4/13,5483209,5483209
2021-04-14,4/14,5563587,5563587
2021-04-15,4/15,5649909,5649909
2021-04-16,4/16,5733992,5733992
2021-04-17,4/17,5802350,5802350
2021-04-18,4/18,5841160,5841160
2021-04-19,4/19,5889383,5889383
2021-04-20,4/20,5944213,5944213
2021-04-21,4/21,6007665,6007665
2021-04-22,4/22,6070150,6070150
2021-04-23,4/23,6132945,6132945
2021-04-24,4/24,6186481,6186481
2021-04-25,4/25,6218958,6218958
2021-04-26,4/26,6249262,6249262
