Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2327320923117054
Latino,Latino,STATEN ISLAND,Staten Island,0.1213136577991381
Black,Black,STATEN ISLAND,Staten Island,0.120946263512455
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.2739902690661821
White,White,QUEENS,Queens,0.225329482571414
Latino,Latino,QUEENS,Queens,0.1405255480331499
Black,Black,QUEENS,Queens,0.1276812227435774
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.2783688831551429
White,White,MANHATTAN,Manhattan,0.3244764154639148
Latino,Latino,MANHATTAN,Manhattan,0.1835559059356018
Black,Black,MANHATTAN,Manhattan,0.1723161013737103
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.276768355856098
White,White,BROOKLYN,Brooklyn,0.1914396324957398
Latino,Latino,BROOKLYN,Brooklyn,0.124859669326144
Black,Black,BROOKLYN,Brooklyn,0.1231722291901671
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.2449869496585031
White,White,THE BRONX,Bronx,0.242150853311526
Latino,Latino,THE BRONX,Bronx,0.1230040937263302
Black,Black,THE BRONX,Bronx,0.1303341933656515
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2402828894371113
White,White,%all%,%all%,0.2432881576867206
Latino,Latino,%all%,%all%,0.1381174208508865
Black,Black,%all%,%all%,0.1311231822145108
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.2674787337007008
