Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-06,5/6,32410,32410
2021-05-05,5/5,42465,42465
2021-05-04,5/4,44028,44028
2021-05-03,5/3,40242,40242
2021-05-02,5/2,31701,31701
2021-05-01,5/1,50346,50346
2021-04-30,4/30,68045,68045
2021-04-29,4/29,69334,69334
2021-04-28,4/28,66628,66628
2021-04-27,4/27,58124,58124
2021-04-26,4/26,51558,51558
2021-04-25,4/25,38350,38350
2021-04-24,4/24,61500,61500
2021-04-23,4/23,70079,70079
2021-04-22,4/22,73514,73514
2021-04-21,4/21,70400,70400
2021-04-20,4/20,66499,66499
2021-04-19,4/19,61361,61361
2021-04-18,4/18,39409,39409
2021-04-17,4/17,69064,69064
2021-04-16,4/16,85413,85413
2021-04-15,4/15,88273,88273
2021-04-14,4/14,82670,82670
2021-04-13,4/13,76989,76989
2021-04-12,4/12,79205,79205
2021-04-11,4/11,62979,62979
2021-04-10,4/10,93447,93447
2021-04-09,4/9,113493,113493
2021-04-08,4/8,115794,115794
2021-04-07,4/7,104484,104484
2021-04-06,4/6,97134,97134
2021-04-05,4/5,84092,84092
2021-04-04,4/4,52143,52143
2021-04-03,4/3,86291,86291
2021-04-02,4/2,107153,107153
2021-04-01,4/1,113760,113760
2021-03-31,3/31,99597,99597
2021-03-30,3/30,84284,84284
2021-03-29,3/29,74624,74624
2021-03-28,3/28,60396,60396
2021-03-27,3/27,81937,81937
2021-03-26,3/26,95469,95469
2021-03-25,3/25,96586,96586
2021-03-24,3/24,81941,81941
2021-03-23,3/23,73490,73490
2021-03-22,3/22,62877,62877
2021-03-21,3/21,48394,48394
2021-03-20,3/20,67490,67490
2021-03-19,3/19,81224,81224
2021-03-18,3/18,80874,80874
2021-03-17,3/17,69958,69958
2021-03-16,3/16,62291,62291
2021-03-15,3/15,54090,54090
2021-03-14,3/14,50561,50561
2021-03-13,3/13,71559,71559
2021-03-12,3/12,84663,84663
2021-03-11,3/11,84592,84592
2021-03-10,3/10,70520,70520
2021-03-09,3/9,58440,58440
2021-03-08,3/8,62128,62128
2021-03-07,3/7,56600,56600
2021-03-06,3/6,70524,70524
2021-03-05,3/5,86834,86834
2021-03-04,3/4,82312,82312
2021-03-03,3/3,63499,63499
2021-03-02,3/2,58410,58410
2021-03-01,3/1,50941,50941
2021-02-28,2/28,57921,57921
2021-02-27,2/27,73248,73248
2021-02-26,2/26,93329,93329
2021-02-25,2/25,83576,83576
2021-02-24,2/24,55642,55642
2021-02-23,2/23,38624,38624
2021-02-22,2/22,24236,24236
2021-02-21,2/21,23600,23600
2021-02-20,2/20,36952,36952
2021-02-19,2/19,36520,36520
2021-02-18,2/18,36141,36141
2021-02-17,2/17,37547,37547
2021-02-16,2/16,40161,40161
2021-02-15,2/15,22682,22682
2021-02-14,2/14,39588,39588
2021-02-13,2/13,52604,52604
2021-02-12,2/12,68000,68000
2021-02-11,2/11,60373,60373
2021-02-10,2/10,47872,47872
2021-02-09,2/9,44610,44610
2021-02-08,2/8,39648,39648
2021-02-07,2/7,20022,20022
2021-02-06,2/6,33757,33757
2021-02-05,2/5,46595,46595
2021-02-04,2/4,45840,45840
2021-02-03,2/3,36597,36597
2021-02-02,2/2,11991,11991
2021-02-01,2/1,6332,6332
2021-01-31,1/31,15610,15610
2021-01-30,1/30,21937,21937
2021-01-29,1/29,42596,42596
2021-01-28,1/28,41831,41831
2021-01-27,1/27,32472,32472
2021-01-26,1/26,26859,26859
2021-01-25,1/25,24024,24024
2021-01-24,1/24,10341,10341
2021-01-23,1/23,18494,18494
2021-01-22,1/22,28499,28499
2021-01-21,1/21,33060,33060
2021-01-20,1/20,43843,43843
2021-01-19,1/19,43233,43233
2021-01-18,1/18,29083,29083
2021-01-17,1/17,25279,25279
2021-01-16,1/16,32294,32294
2021-01-15,1/15,32376,32376
2021-01-14,1/14,40718,40718
2021-01-13,1/13,40812,40812
2021-01-12,1/12,35623,35623
2021-01-11,1/11,32906,32906
2021-01-10,1/10,8787,8787
2021-01-09,1/9,9089,9089
2021-01-08,1/8,21800,21800
2021-01-07,1/7,21462,21462
2021-01-06,1/6,21504,21504
2021-01-05,1/5,16021,16021
2021-01-04,1/4,12968,12968
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3806,3806
2021-01-01,1/1,164,164
2020-12-31,12/31,7234,7234
2020-12-30,12/30,12810,12810
2020-12-29,12/29,10711,10711
2020-12-28,12/28,10953,10953
2020-12-27,12/27,3838,3838
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7237,7237
2020-12-23,12/23,14250,14250
2020-12-22,12/22,9753,9753
2020-12-21,12/21,6270,6270
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5785,5785
2020-12-17,12/17,4494,4494
2020-12-16,12/16,4510,4510
2020-12-15,12/15,2039,2039
2020-12-14,12/14,77,77
