Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6626,6626
2020-12-17,12/17,11120,11120
2020-12-18,12/18,16905,16905
2020-12-19,12/19,18590,18590
2020-12-20,12/20,19694,19694
2020-12-21,12/21,25964,25964
2020-12-22,12/22,35717,35717
2020-12-23,12/23,49967,49967
2020-12-24,12/24,57204,57204
2020-12-25,12/25,57383,57383
2020-12-26,12/26,61731,61731
2020-12-27,12/27,65569,65569
2020-12-28,12/28,76522,76522
2020-12-29,12/29,87233,87233
2020-12-30,12/30,100043,100043
2020-12-31,12/31,107277,107277
2021-01-01,1/1,107441,107441
2021-01-02,1/2,111247,111247
2021-01-03,1/3,114788,114788
2021-01-04,1/4,127756,127756
2021-01-05,1/5,143777,143777
2021-01-06,1/6,165281,165281
2021-01-07,1/7,186743,186743
2021-01-08,1/8,208543,208543
2021-01-09,1/9,217632,217632
2021-01-10,1/10,226419,226419
2021-01-11,1/11,259325,259325
2021-01-12,1/12,294948,294948
2021-01-13,1/13,335760,335760
2021-01-14,1/14,376478,376478
2021-01-15,1/15,408854,408854
2021-01-16,1/16,441148,441148
2021-01-17,1/17,466427,466427
2021-01-18,1/18,495510,495510
2021-01-19,1/19,538743,538743
2021-01-20,1/20,582586,582586
2021-01-21,1/21,615646,615646
2021-01-22,1/22,644145,644145
2021-01-23,1/23,662639,662639
2021-01-24,1/24,672980,672980
2021-01-25,1/25,697004,697004
2021-01-26,1/26,723863,723863
2021-01-27,1/27,756335,756335
2021-01-28,1/28,798166,798166
2021-01-29,1/29,840762,840762
2021-01-30,1/30,862699,862699
2021-01-31,1/31,878309,878309
2021-02-01,2/1,884641,884641
2021-02-02,2/2,896632,896632
2021-02-03,2/3,933229,933229
2021-02-04,2/4,979069,979069
2021-02-05,2/5,1025664,1025664
2021-02-06,2/6,1059421,1059421
2021-02-07,2/7,1079443,1079443
2021-02-08,2/8,1119091,1119091
2021-02-09,2/9,1163701,1163701
2021-02-10,2/10,1211573,1211573
2021-02-11,2/11,1271946,1271946
2021-02-12,2/12,1339946,1339946
2021-02-13,2/13,1392550,1392550
2021-02-14,2/14,1432138,1432138
2021-02-15,2/15,1454820,1454820
2021-02-16,2/16,1494981,1494981
2021-02-17,2/17,1532528,1532528
2021-02-18,2/18,1568669,1568669
2021-02-19,2/19,1605189,1605189
2021-02-20,2/20,1642141,1642141
2021-02-21,2/21,1665741,1665741
2021-02-22,2/22,1689977,1689977
2021-02-23,2/23,1728601,1728601
2021-02-24,2/24,1784243,1784243
2021-02-25,2/25,1867819,1867819
2021-02-26,2/26,1961148,1961148
2021-02-27,2/27,2034396,2034396
2021-02-28,2/28,2092317,2092317
2021-03-01,3/1,2143258,2143258
2021-03-02,3/2,2201668,2201668
2021-03-03,3/3,2265167,2265167
2021-03-04,3/4,2347479,2347479
2021-03-05,3/5,2434313,2434313
2021-03-06,3/6,2504837,2504837
2021-03-07,3/7,2561437,2561437
2021-03-08,3/8,2623565,2623565
2021-03-09,3/9,2682005,2682005
2021-03-10,3/10,2752525,2752525
2021-03-11,3/11,2837117,2837117
2021-03-12,3/12,2921780,2921780
2021-03-13,3/13,2993339,2993339
2021-03-14,3/14,3043900,3043900
2021-03-15,3/15,3097990,3097990
2021-03-16,3/16,3160281,3160281
2021-03-17,3/17,3230239,3230239
2021-03-18,3/18,3311113,3311113
2021-03-19,3/19,3392337,3392337
2021-03-20,3/20,3459827,3459827
2021-03-21,3/21,3508221,3508221
2021-03-22,3/22,3571098,3571098
2021-03-23,3/23,3644588,3644588
2021-03-24,3/24,3726529,3726529
2021-03-25,3/25,3823115,3823115
2021-03-26,3/26,3918584,3918584
2021-03-27,3/27,4000521,4000521
2021-03-28,3/28,4060917,4060917
2021-03-29,3/29,4135541,4135541
2021-03-30,3/30,4219825,4219825
2021-03-31,3/31,4319422,4319422
2021-04-01,4/1,4433182,4433182
2021-04-02,4/2,4540335,4540335
2021-04-03,4/3,4626626,4626626
2021-04-04,4/4,4678769,4678769
2021-04-05,4/5,4762861,4762861
2021-04-06,4/6,4859995,4859995
2021-04-07,4/7,4964479,4964479
2021-04-08,4/8,5080273,5080273
2021-04-09,4/9,5193766,5193766
2021-04-10,4/10,5287213,5287213
2021-04-11,4/11,5350192,5350192
2021-04-12,4/12,5429397,5429397
2021-04-13,4/13,5506386,5506386
2021-04-14,4/14,5589056,5589056
2021-04-15,4/15,5677329,5677329
2021-04-16,4/16,5762742,5762742
2021-04-17,4/17,5831806,5831806
2021-04-18,4/18,5871215,5871215
2021-04-19,4/19,5932576,5932576
2021-04-20,4/20,5999075,5999075
2021-04-21,4/21,6069475,6069475
2021-04-22,4/22,6142989,6142989
2021-04-23,4/23,6213068,6213068
2021-04-24,4/24,6274568,6274568
2021-04-25,4/25,6312918,6312918
2021-04-26,4/26,6364476,6364476
2021-04-27,4/27,6422600,6422600
2021-04-28,4/28,6489228,6489228
2021-04-29,4/29,6558562,6558562
2021-04-30,4/30,6626607,6626607
2021-05-01,5/1,6676953,6676953
2021-05-02,5/2,6708654,6708654
2021-05-03,5/3,6748896,6748896
2021-05-04,5/4,6792924,6792924
2021-05-05,5/5,6835389,6835389
2021-05-06,5/6,6867799,6867799
