Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3636174570219006
Latino,Latino,STATEN ISLAND,Staten Island,0.2821476116338365
Black,Black,STATEN ISLAND,Staten Island,0.253776773125042
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5984328897747034
White,White,QUEENS,Queens,0.3965728020999737
Latino,Latino,QUEENS,Queens,0.3699235529297009
Black,Black,QUEENS,Queens,0.2573046442468467
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6125714094951086
White,White,MANHATTAN,Manhattan,0.5557920328046222
Latino,Latino,MANHATTAN,Manhattan,0.3812194265795285
Black,Black,MANHATTAN,Manhattan,0.336903340858598
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.655155313881029
White,White,BROOKLYN,Brooklyn,0.3612201838371219
Latino,Latino,BROOKLYN,Brooklyn,0.3065070015444128
Black,Black,BROOKLYN,Brooklyn,0.2542563625224486
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6097807230045482
White,White,THE BRONX,Bronx,0.3953156434982143
Latino,Latino,THE BRONX,Bronx,0.2660998166242123
Black,Black,THE BRONX,Bronx,0.2505063261959467
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4705022067088608
White,White,%all%,%all%,0.4260131336000024
Latino,Latino,%all%,%all%,0.3214681526165729
Black,Black,%all%,%all%,0.263129789555319
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6115923420246714
