Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,76,76
2020-12-15,12/15,2110,2110
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11105,11105
2020-12-18,12/18,16864,16864
2020-12-19,12/19,18549,18549
2020-12-20,12/20,19647,19647
2020-12-21,12/21,25912,25912
2020-12-22,12/22,35626,35626
2020-12-23,12/23,49841,49841
2020-12-24,12/24,57074,57074
2020-12-25,12/25,57253,57253
2020-12-26,12/26,61601,61601
2020-12-27,12/27,65433,65433
2020-12-28,12/28,76378,76378
2020-12-29,12/29,87052,87052
2020-12-30,12/30,99848,99848
2020-12-31,12/31,107074,107074
2021-01-01,1/1,107235,107235
2021-01-02,1/2,111036,111036
2021-01-03,1/3,114574,114574
2021-01-04,1/4,127522,127522
2021-01-05,1/5,143484,143484
2021-01-06,1/6,164883,164883
2021-01-07,1/7,186294,186294
2021-01-08,1/8,208062,208062
2021-01-09,1/9,217111,217111
2021-01-10,1/10,225879,225879
2021-01-11,1/11,258730,258730
2021-01-12,1/12,294351,294351
2021-01-13,1/13,335085,335085
2021-01-14,1/14,375799,375799
2021-01-15,1/15,408095,408095
2021-01-16,1/16,440383,440383
2021-01-17,1/17,465617,465617
2021-01-18,1/18,494678,494678
2021-01-19,1/19,536934,536934
2021-01-20,1/20,581702,581702
2021-01-21,1/21,614752,614752
2021-01-22,1/22,643221,643221
2021-01-23,1/23,661708,661708
2021-01-24,1/24,672047,672047
2021-01-25,1/25,696064,696064
2021-01-26,1/26,722922,722922
2021-01-27,1/27,755363,755363
2021-01-28,1/28,797178,797178
2021-01-29,1/29,839727,839727
2021-01-30,1/30,861637,861637
2021-01-31,1/31,877218,877218
2021-02-01,2/1,883516,883516
2021-02-02,2/2,895330,895330
2021-02-03,2/3,931597,931597
2021-02-04,2/4,977004,977004
2021-02-05,2/5,1023238,1023238
2021-02-06,2/6,1056584,1056584
2021-02-07,2/7,1076458,1076458
2021-02-08,2/8,1115927,1115927
2021-02-09,2/9,1160381,1160381
2021-02-10,2/10,1208166,1208166
2021-02-11,2/11,1268008,1268008
2021-02-12,2/12,1334897,1334897
2021-02-13,2/13,1386669,1386669
2021-02-14,2/14,1425845,1425845
2021-02-15,2/15,1448305,1448305
2021-02-16,2/16,1488163,1488163
2021-02-17,2/17,1525480,1525480
2021-02-18,2/18,1561137,1561137
2021-02-19,2/19,1597121,1597121
2021-02-20,2/20,1633036,1633036
2021-02-21,2/21,1656358,1656358
2021-02-22,2/22,1680303,1680303
2021-02-23,2/23,1718757,1718757
2021-02-24,2/24,1773294,1773294
2021-02-25,2/25,1856102,1856102
2021-02-26,2/26,1948194,1948194
2021-02-27,2/27,2020665,2020665
2021-02-28,2/28,2077990,2077990
2021-03-01,3/1,2128517,2128517
2021-03-02,3/2,2186691,2186691
2021-03-03,3/3,2249894,2249894
2021-03-04,3/4,2331242,2331242
2021-03-05,3/5,2416500,2416500
2021-03-06,3/6,2486119,2486119
2021-03-07,3/7,2542071,2542071
2021-03-08,3/8,2603586,2603586
2021-03-09,3/9,2661443,2661443
2021-03-10,3/10,2731294,2731294
2021-03-11,3/11,2814040,2814040
2021-03-12,3/12,2896648,2896648
2021-03-13,3/13,2965909,2965909
2021-03-14,3/14,3014983,3014983
2021-03-15,3/15,3068576,3068576
2021-03-16,3/16,3130310,3130310
2021-03-17,3/17,3199977,3199977
2021-03-18,3/18,3280531,3280531
2021-03-19,3/19,3359546,3359546
2021-03-20,3/20,3425042,3425042
2021-03-21,3/21,3472877,3472877
2021-03-22,3/22,3533065,3533065
2021-03-23,3/23,3602171,3602171
2021-03-24,3/24,3680757,3680757
2021-03-25,3/25,3772970,3772970
2021-03-26,3/26,3862784,3862784
2021-03-27,3/27,3939504,3939504
2021-03-28,3/28,3985240,3985240
2021-03-29,3/29,4042524,4042524
2021-03-30,3/30,4095216,4095216
2021-03-31,3/31,4134399,4134399
