Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,76,76
2020-12-15,12/15,2110,2110
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11107,11107
2020-12-18,12/18,16880,16880
2020-12-19,12/19,18565,18565
2020-12-20,12/20,19665,19665
2020-12-21,12/21,25934,25934
2020-12-22,12/22,35649,35649
2020-12-23,12/23,49869,49869
2020-12-24,12/24,57103,57103
2020-12-25,12/25,57282,57282
2020-12-26,12/26,61630,61630
2020-12-27,12/27,65461,65461
2020-12-28,12/28,76406,76406
2020-12-29,12/29,87079,87079
2020-12-30,12/30,99877,99877
2020-12-31,12/31,107104,107104
2021-01-01,1/1,107266,107266
2021-01-02,1/2,111067,111067
2021-01-03,1/3,114604,114604
2021-01-04,1/4,127556,127556
2021-01-05,1/5,143524,143524
2021-01-06,1/6,164927,164927
2021-01-07,1/7,186340,186340
2021-01-08,1/8,208130,208130
2021-01-09,1/9,217215,217215
2021-01-10,1/10,225986,225986
2021-01-11,1/11,258890,258890
2021-01-12,1/12,294510,294510
2021-01-13,1/13,335293,335293
2021-01-14,1/14,376006,376006
2021-01-15,1/15,408308,408308
2021-01-16,1/16,440596,440596
2021-01-17,1/17,465836,465836
2021-01-18,1/18,494898,494898
2021-01-19,1/19,538094,538094
2021-01-20,1/20,582330,582330
2021-01-21,1/21,615388,615388
2021-01-22,1/22,643860,643860
2021-01-23,1/23,662348,662348
2021-01-24,1/24,672687,672687
2021-01-25,1/25,696706,696706
2021-01-26,1/26,723566,723566
2021-01-27,1/27,756020,756020
2021-01-28,1/28,797841,797841
2021-01-29,1/29,840399,840399
2021-01-30,1/30,862311,862311
2021-01-31,1/31,877892,877892
2021-02-01,2/1,884190,884190
2021-02-02,2/2,896006,896006
2021-02-03,2/3,932319,932319
2021-02-04,2/4,977761,977761
2021-02-05,2/5,1024124,1024124
2021-02-06,2/6,1057703,1057703
2021-02-07,2/7,1077677,1077677
2021-02-08,2/8,1117252,1117252
2021-02-09,2/9,1161760,1161760
2021-02-10,2/10,1209203,1209203
2021-02-11,2/11,1269117,1269117
2021-02-12,2/12,1336068,1336068
2021-02-13,2/13,1387887,1387887
2021-02-14,2/14,1427066,1427066
2021-02-15,2/15,1449565,1449565
2021-02-16,2/16,1489464,1489464
2021-02-17,2/17,1526778,1526778
2021-02-18,2/18,1562439,1562439
2021-02-19,2/19,1598436,1598436
2021-02-20,2/20,1634408,1634408
2021-02-21,2/21,1657724,1657724
2021-02-22,2/22,1681706,1681706
2021-02-23,2/23,1720199,1720199
2021-02-24,2/24,1774749,1774749
2021-02-25,2/25,1857579,1857579
2021-02-26,2/26,1949691,1949691
2021-02-27,2/27,2022202,2022202
2021-02-28,2/28,2079559,2079559
2021-03-01,3/1,2130098,2130098
2021-03-02,3/2,2188271,2188271
2021-03-03,3/3,2251487,2251487
2021-03-04,3/4,2332851,2332851
2021-03-05,3/5,2418165,2418165
2021-03-06,3/6,2487866,2487866
2021-03-07,3/7,2543927,2543927
2021-03-08,3/8,2605567,2605567
2021-03-09,3/9,2663562,2663562
2021-03-10,3/10,2733546,2733546
2021-03-11,3/11,2816379,2816379
2021-03-12,3/12,2899015,2899015
2021-03-13,3/13,2968344,2968344
2021-03-14,3/14,3017423,3017423
2021-03-15,3/15,3071076,3071076
2021-03-16,3/16,3132821,3132821
2021-03-17,3/17,3202542,3202542
2021-03-18,3/18,3283125,3283125
2021-03-19,3/19,3362215,3362215
2021-03-20,3/20,3427793,3427793
2021-03-21,3/21,3475627,3475627
2021-03-22,3/22,3536495,3536495
2021-03-23,3/23,3607419,3607419
2021-03-24,3/24,3687514,3687514
2021-03-25,3/25,3781391,3781391
2021-03-26,3/26,3872812,3872812
2021-03-27,3/27,3951358,3951358
2021-03-28,3/28,4010192,4010192
2021-03-29,3/29,4082002,4082002
2021-03-30,3/30,4162521,4162521
2021-03-31,3/31,4257875,4257875
2021-04-01,4/1,4366556,4366556
2021-04-02,4/2,4467841,4467841
2021-04-03,4/3,4547672,4547672
2021-04-04,4/4,4585942,4585942
2021-04-05,4/5,4635009,4635009
2021-04-06,4/6,4673627,4673627
