Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5814,5143,0.5193375744723822
STATEN ISLAND,Staten Island,75to84,75 to 84,16838,15108,0.6644091648709266
STATEN ISLAND,Staten Island,65to74,65 to 74,36141,32203,0.690177672046122
STATEN ISLAND,Staten Island,55to64,55 to 64,43384,36210,0.5475578406169666
STATEN ISLAND,Staten Island,45to54,45 to 54,33953,26636,0.4150719940160818
STATEN ISLAND,Staten Island,35to44,35 to 44,26778,20223,0.341754824754115
STATEN ISLAND,Staten Island,25to34,25 to 34,23031,16599,0.2564780049135494
STATEN ISLAND,Staten Island,18to24,18 to 24,13216,8026,0.2023086375066622
STATEN ISLAND,Staten Island,<18,<18,2468,1078,0.0104685662259938
STATEN ISLAND,Staten Island,%all%,%all%,201623,161226,0.3386083592534173
QUEENS,Queens,85andUp,85+,27950,24186,0.4684921701186486
QUEENS,Queens,75to84,75 to 84,73076,63992,0.5830925846422698
QUEENS,Queens,65to74,65 to 74,156527,135562,0.6494750934846336
QUEENS,Queens,55to64,55 to 64,211446,166032,0.5501692205317233
QUEENS,Queens,45to54,45 to 54,190937,137980,0.457727438240193
QUEENS,Queens,35to44,35 to 44,179933,124206,0.4024701421592707
QUEENS,Queens,25to34,25 to 34,175464,115556,0.3187768120352749
QUEENS,Queens,18to24,18 to 24,74246,38351,0.2194921679647535
QUEENS,Queens,<18,<18,13665,4211,0.009375048772513
QUEENS,Queens,%all%,%all%,1103244,810076,0.3571243673150831
MANHATTAN,Manhattan,85andUp,85+,24758,22384,0.5620502109909946
MANHATTAN,Manhattan,75to84,75 to 84,64346,59316,0.6926358238829242
MANHATTAN,Manhattan,65to74,65 to 74,116266,106482,0.7204128345642938
MANHATTAN,Manhattan,55to64,55 to 64,134303,113876,0.6262292783087936
MANHATTAN,Manhattan,45to54,45 to 54,128490,102973,0.5330769787486154
MANHATTAN,Manhattan,35to44,35 to 44,144505,111860,0.4822658770153832
MANHATTAN,Manhattan,25to34,25 to 34,214951,156319,0.4347781105235588
MANHATTAN,Manhattan,18to24,18 to 24,77979,48074,0.3338765342704158
MANHATTAN,Manhattan,<18,<18,9596,4765,0.0209297031756519
MANHATTAN,Manhattan,%all%,%all%,915194,726049,0.450564670904425
BROOKLYN,Brooklyn,85andUp,85+,22459,18691,0.3666339741074932
BROOKLYN,Brooklyn,75to84,75 to 84,62278,53148,0.4982889716016164
BROOKLYN,Brooklyn,65to74,65 to 74,136138,115708,0.5503536384088888
BROOKLYN,Brooklyn,55to64,55 to 64,164470,127828,0.4473655659964653
BROOKLYN,Brooklyn,45to54,45 to 54,155381,113808,0.385311782669637
BROOKLYN,Brooklyn,35to44,35 to 44,177583,128740,0.3596230020168387
BROOKLYN,Brooklyn,25to34,25 to 34,213349,147678,0.3141811033505588
BROOKLYN,Brooklyn,18to24,18 to 24,66375,34880,0.1678312656333893
BROOKLYN,Brooklyn,<18,<18,10006,3550,0.0061732343512862
BROOKLYN,Brooklyn,%all%,%all%,1008039,744031,0.2906481222140058
THE BRONX,Bronx,85andUp,85+,13067,11302,0.4248204463324862
THE BRONX,Bronx,75to84,75 to 84,37247,32802,0.566620082493441
THE BRONX,Bronx,65to74,65 to 74,78675,68328,0.6485156441781538
THE BRONX,Bronx,55to64,55 to 64,111109,89601,0.5482464899830494
THE BRONX,Bronx,45to54,45 to 54,93653,70231,0.4037749367101342
THE BRONX,Bronx,35to44,35 to 44,75358,53061,0.2961158092515007
THE BRONX,Bronx,25to34,25 to 34,61906,41675,0.1836684323364813
THE BRONX,Bronx,18to24,18 to 24,32149,17459,0.1260963894261294
THE BRONX,Bronx,<18,<18,5281,1642,0.0047015550311942
THE BRONX,Bronx,%all%,%all%,508445,386101,0.2717068297141667
%all%,%all%,85andUp,85+,94048,81706,0.4566162581452794
%all%,%all%,75to84,75 to 84,253785,224366,0.5863101701327152
%all%,%all%,65to74,65 to 74,523747,458283,0.6375712129327556
%all%,%all%,55to64,55 to 64,664712,533547,0.5341214921205754
%all%,%all%,45to54,45 to 54,602414,451628,0.4392896710103328
%all%,%all%,35to44,35 to 44,604157,438090,0.3853352871741375
%all%,%all%,25to34,25 to 34,688701,477827,0.3220511707563327
%all%,%all%,18to24,18 to 24,263965,146790,0.208310029154103
%all%,%all%,<18,<18,41016,15246,0.0089465416384914
%all%,%all%,%all%,%all%,3736545,2827483,0.3391561791508678
