Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,86212,60436,0.3726797216098215
STATEN ISLAND,Staten Island,F,Female,100530,72613,0.4106399578453759
QUEENS,Queens,M,Male,440200,284061,0.3986726080633713
QUEENS,Queens,F,Female,508035,337803,0.4363939175397072
MANHATTAN,Manhattan,M,Male,384120,253850,0.5030318168732724
MANHATTAN,Manhattan,F,Female,449553,309833,0.530251796638619
BROOKLYN,Brooklyn,M,Male,402374,248581,0.331938617086044
BROOKLYN,Brooklyn,F,Female,487907,316563,0.3620269657618967
THE BRONX,Bronx,M,Male,199451,139893,0.2989625833236818
THE BRONX,Bronx,F,Female,250098,180307,0.3317491200863956
%all%,%all%,M,Male,1512357,986821,0.3801380435933253
%all%,%all%,F,Female,1796123,1217119,0.4121083725577228
