Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.2045053439894182
STATEN ISLAND,Staten Island,F,Female,0.2356983221725305
QUEENS,Queens,M,Male,0.1709950676147391
QUEENS,Queens,F,Female,0.1962571339590801
MANHATTAN,Manhattan,M,Male,0.2290707071642011
MANHATTAN,Manhattan,F,Female,0.2628774731206225
BROOKLYN,Brooklyn,M,Male,0.1429181901114901
BROOKLYN,Brooklyn,F,Female,0.1652805240174399
THE BRONX,Bronx,M,Male,0.1650382539060576
THE BRONX,Bronx,F,Female,0.1836851983102211
%all%,%all%,M,Male,0.1758087730889035
%all%,%all%,F,Female,0.2008765409685976
