Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.3719075027769363
STATEN ISLAND,Staten Island,75to84,75 to 84,0.4778574255684068
STATEN ISLAND,Staten Island,65to74,65 to 74,0.4750637604749352
STATEN ISLAND,Staten Island,55to64,55 to 64,0.2445637380916377
STATEN ISLAND,Staten Island,45to54,45 to 54,0.1795331297138939
STATEN ISLAND,Staten Island,35to44,35 to 44,0.1495251292797512
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1111111111111111
STATEN ISLAND,Staten Island,18to24,18 to 24,0.0589331665201316
STATEN ISLAND,Staten Island,%all%,%all%,0.2218464260978311
QUEENS,Queens,85andUp,85+,0.2862168322861636
QUEENS,Queens,75to84,75 to 84,0.3567423706296022
QUEENS,Queens,65to74,65 to 74,0.3738738574988593
QUEENS,Queens,55to64,55 to 64,0.2051768813608448
QUEENS,Queens,45to54,45 to 54,0.1624836202710875
QUEENS,Queens,35to44,35 to 44,0.1431519084449403
QUEENS,Queens,25to34,25 to 34,0.1150654194226466
QUEENS,Queens,18to24,18 to 24,0.0642548713134022
QUEENS,Queens,%all%,%all%,0.1868879825558546
MANHATTAN,Manhattan,85andUp,85+,0.4324602744772113
MANHATTAN,Manhattan,75to84,75 to 84,0.5524061453980292
MANHATTAN,Manhattan,65to74,65 to 74,0.54295158617845
MANHATTAN,Manhattan,55to64,55 to 64,0.2712600689446228
MANHATTAN,Manhattan,45to54,45 to 54,0.2059614423151084
MANHATTAN,Manhattan,35to44,35 to 44,0.1808087462030318
MANHATTAN,Manhattan,25to34,25 to 34,0.1565956612996335
MANHATTAN,Manhattan,18to24,18 to 24,0.090278759183366
MANHATTAN,Manhattan,%all%,%all%,0.2494180133649799
BROOKLYN,Brooklyn,85andUp,85+,0.229266378972146
BROOKLYN,Brooklyn,75to84,75 to 84,0.3121290818574737
BROOKLYN,Brooklyn,65to74,65 to 74,0.3314497985664208
BROOKLYN,Brooklyn,55to64,55 to 64,0.1738953925840377
BROOKLYN,Brooklyn,45to54,45 to 54,0.1411604585497315
BROOKLYN,Brooklyn,35to44,35 to 44,0.1274770521752247
BROOKLYN,Brooklyn,25to34,25 to 34,0.1074736033665148
BROOKLYN,Brooklyn,18to24,18 to 24,0.048684539727025
BROOKLYN,Brooklyn,%all%,%all%,0.157351239399128
THE BRONX,Bronx,85andUp,85+,0.2824368106301806
THE BRONX,Bronx,75to84,75 to 84,0.3762611620289046
THE BRONX,Bronx,65to74,65 to 74,0.4118712150086493
THE BRONX,Bronx,55to64,55 to 64,0.2438445901139996
THE BRONX,Bronx,45to54,45 to 54,0.172367991022576
THE BRONX,Bronx,35to44,35 to 44,0.1257491854632228
THE BRONX,Bronx,25to34,25 to 34,0.0794699261401663
THE BRONX,Bronx,18to24,18 to 24,0.0373544032368372
THE BRONX,Bronx,%all%,%all%,0.1756535637224859
%all%,%all%,85andUp,85+,0.3067207636164482
%all%,%all%,75to84,75 to 84,0.3982443744055942
%all%,%all%,65to74,65 to 74,0.4083709541663479
%all%,%all%,55to64,55 to 64,0.2171926087279807
%all%,%all%,45to54,45 to 54,0.1672630818208965
%all%,%all%,35to44,35 to 44,0.1434876762019024
%all%,%all%,25to34,25 to 34,0.117107984840591
%all%,%all%,18to24,18 to 24,0.0593951083876002
%all%,%all%,%all%,%all%,0.1912459465661638
