Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.2027135638737828
Latino,Latino,STATEN ISLAND,Staten Island,0.0981599809889836
Black,Black,STATEN ISLAND,Staten Island,0.1005409441385804
Asian,Asian,STATEN ISLAND,Staten Island,0.1994132361779009
White,White,QUEENS,Queens,0.1735295082547752
Latino,Latino,QUEENS,Queens,0.0968000656291734
Black,Black,QUEENS,Queens,0.097632554164386
Asian,Asian,QUEENS,Queens,0.1912570679758274
White,White,MANHATTAN,Manhattan,0.2549133426477703
Latino,Latino,MANHATTAN,Manhattan,0.1369411412429148
Black,Black,MANHATTAN,Manhattan,0.131574111908903
Asian,Asian,MANHATTAN,Manhattan,0.1771158252970354
White,White,BROOKLYN,Brooklyn,0.1580130428077611
Latino,Latino,BROOKLYN,Brooklyn,0.0897580573677548
Black,Black,BROOKLYN,Brooklyn,0.0938169169994036
Asian,Asian,BROOKLYN,Brooklyn,0.1618240049228088
White,White,THE BRONX,Bronx,0.209476271520428
Latino,Latino,THE BRONX,Bronx,0.0979555824462658
Black,Black,THE BRONX,Bronx,0.1089819309406336
Asian,Asian,THE BRONX,Bronx,0.1908161936953258
White,White,%all%,%all%,0.1981256283410171
Latino,Latino,%all%,%all%,0.1030800393651002
Black,Black,%all%,%all%,0.1024913033512267
Asian,Asian,%all%,%all%,0.1816466116388458
