Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3954354523092216
Latino,Latino,STATEN ISLAND,Staten Island,0.322553152107451
Black,Black,STATEN ISLAND,Staten Island,0.2727139615959124
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6286630986202876
White,White,QUEENS,Queens,0.4113780968574301
Latino,Latino,QUEENS,Queens,0.381810138530221
Black,Black,QUEENS,Queens,0.2638303042007951
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.6163698336377152
White,White,MANHATTAN,Manhattan,0.5567900062016556
Latino,Latino,MANHATTAN,Manhattan,0.395511349990335
Black,Black,MANHATTAN,Manhattan,0.3387473631928914
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6201596217067886
White,White,BROOKLYN,Brooklyn,0.410301461742411
Latino,Latino,BROOKLYN,Brooklyn,0.3263146841073364
Black,Black,BROOKLYN,Brooklyn,0.2635741678468068
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6165415400918716
White,White,THE BRONX,Bronx,0.4093405577143955
Latino,Latino,THE BRONX,Bronx,0.2911046854570263
Black,Black,THE BRONX,Bronx,0.2693832259644617
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.489546316082089
White,White,%all%,%all%,0.4537685435368586
Latino,Latino,%all%,%all%,0.3419754881440236
Black,Black,%all%,%all%,0.2737545575858268
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.6118664404211231
