Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.5094415833585784
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6631338229473592
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6825049829614867
STATEN ISLAND,Staten Island,55to64,55 to 64,0.5111749584152429
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3657981674250452
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2876263223713118
STATEN ISLAND,Staten Island,25to34,25 to 34,0.2112671703827315
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1363176067326226
STATEN ISLAND,Staten Island,%all%,%all%,0.3894974312138231
QUEENS,Queens,85andUp,85+,0.4333349184538282
QUEENS,Queens,75to84,75 to 84,0.5469545487832368
QUEENS,Queens,65to74,65 to 74,0.6058148750832716
QUEENS,Queens,55to64,55 to 64,0.4740848785215754
QUEENS,Queens,45to54,45 to 54,0.3647588090426179
QUEENS,Queens,35to44,35 to 44,0.3067957510880291
QUEENS,Queens,25to34,25 to 34,0.2369115633769723
QUEENS,Queens,18to24,18 to 24,0.14045415488574
QUEENS,Queens,%all%,%all%,0.3666380523186021
MANHATTAN,Manhattan,85andUp,85+,0.548114459244211
MANHATTAN,Manhattan,75to84,75 to 84,0.6809938062753432
MANHATTAN,Manhattan,65to74,65 to 74,0.7007046905861024
MANHATTAN,Manhattan,55to64,55 to 64,0.5673931139842144
MANHATTAN,Manhattan,45to54,45 to 54,0.4442161478490592
MANHATTAN,Manhattan,35to44,35 to 44,0.3768106351791927
MANHATTAN,Manhattan,25to34,25 to 34,0.3237993978398766
MANHATTAN,Manhattan,18to24,18 to 24,0.2208805028900509
MANHATTAN,Manhattan,%all%,%all%,0.4396188239381283
BROOKLYN,Brooklyn,85andUp,85+,0.3544723420949392
BROOKLYN,Brooklyn,75to84,75 to 84,0.4812911935946598
BROOKLYN,Brooklyn,65to74,65 to 74,0.5292352182950206
BROOKLYN,Brooklyn,55to64,55 to 64,0.4009624302238088
BROOKLYN,Brooklyn,45to54,45 to 54,0.3220885274540739
BROOKLYN,Brooklyn,35to44,35 to 44,0.2833183420580694
BROOKLYN,Brooklyn,25to34,25 to 34,0.2388025725415443
BROOKLYN,Brooklyn,18to24,18 to 24,0.1131273189881484
BROOKLYN,Brooklyn,%all%,%all%,0.3161761493805248
THE BRONX,Bronx,85andUp,85+,0.3905777081791598
THE BRONX,Bronx,75to84,75 to 84,0.5378071351853786
THE BRONX,Bronx,65to74,65 to 74,0.6152679228698166
THE BRONX,Bronx,55to64,55 to 64,0.4871262548468266
THE BRONX,Bronx,45to54,45 to 54,0.3387912669683586
THE BRONX,Bronx,35to44,35 to 44,0.2386014478533746
THE BRONX,Bronx,25to34,25 to 34,0.1449074518349971
THE BRONX,Bronx,18to24,18 to 24,0.0847552053333884
THE BRONX,Bronx,%all%,%all%,0.310009258861013
%all%,%all%,85andUp,85+,0.4342677351931954
%all%,%all%,75to84,75 to 84,0.5641686421314384
%all%,%all%,65to74,65 to 74,0.609291939982888
%all%,%all%,55to64,55 to 64,0.4747436262837516
%all%,%all%,45to54,45 to 54,0.363100593626804
%all%,%all%,35to44,35 to 44,0.3019414094041196
%all%,%all%,25to34,25 to 34,0.2433768574353693
%all%,%all%,18to24,18 to 24,0.1376515056742206
%all%,%all%,%all%,%all%,0.3588984663065572
