Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.369148621997341
STATEN ISLAND,Staten Island,F,Female,0.4050167826459929
QUEENS,Queens,M,Male,0.3428905548728034
QUEENS,Queens,F,Female,0.3775088029863445
MANHATTAN,Manhattan,M,Male,0.4194411532004183
MANHATTAN,Manhattan,F,Female,0.4487751144412092
BROOKLYN,Brooklyn,M,Male,0.2968158433456371
BROOKLYN,Brooklyn,F,Female,0.323896956804752
THE BRONX,Bronx,M,Male,0.2958679915276779
THE BRONX,Bronx,F,Female,0.3199695918948453
%all%,%all%,M,Male,0.339365606391138
%all%,%all%,F,Female,0.3681525465462416
