Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3345268206180895
Latino,Latino,STATEN ISLAND,Staten Island,0.2212970971961151
Black,Black,STATEN ISLAND,Staten Island,0.2031659469356448
Asian,Asian,STATEN ISLAND,Staten Island,0.4473337175821886
White,White,QUEENS,Queens,0.3069590175469458
Latino,Latino,QUEENS,Queens,0.2291695511398029
Black,Black,QUEENS,Queens,0.1847680579523191
Asian,Asian,QUEENS,Queens,0.4110892737062372
White,White,MANHATTAN,Manhattan,0.4236590221911828
Latino,Latino,MANHATTAN,Manhattan,0.2674547301380306
Black,Black,MANHATTAN,Manhattan,0.2501931606559684
Asian,Asian,MANHATTAN,Manhattan,0.3929596491494095
White,White,BROOKLYN,Brooklyn,0.2984514117468771
Latino,Latino,BROOKLYN,Brooklyn,0.2029091181543274
Black,Black,BROOKLYN,Brooklyn,0.187463486319596
Asian,Asian,BROOKLYN,Brooklyn,0.3890761609326328
White,White,THE BRONX,Bronx,0.3223219079473086
Latino,Latino,THE BRONX,Bronx,0.1937738348930541
Black,Black,THE BRONX,Bronx,0.1987647764143254
Asian,Asian,THE BRONX,Bronx,0.3556621445623215
White,White,%all%,%all%,0.343495452115936
Latino,Latino,%all%,%all%,0.2191875597313519
Black,Black,%all%,%all%,0.1968922748135162
Asian,Asian,%all%,%all%,0.4013070274307692
