Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2757013793176379
Latino,Latino,STATEN ISLAND,Staten Island,0.16228931158194
Black,Black,STATEN ISLAND,Staten Island,0.1540252008683781
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.370967426773746
White,White,QUEENS,Queens,0.2793483169699771
Latino,Latino,QUEENS,Queens,0.1899022685183477
Black,Black,QUEENS,Queens,0.1599476507525151
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.3574130893009283
White,White,MANHATTAN,Manhattan,0.4038698592079914
Latino,Latino,MANHATTAN,Manhattan,0.2348498592398885
Black,Black,MANHATTAN,Manhattan,0.2174786678023771
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3835578488168352
White,White,BROOKLYN,Brooklyn,0.2432856529702487
Latino,Latino,BROOKLYN,Brooklyn,0.1641315831367498
Black,Black,BROOKLYN,Brooklyn,0.1528556741420882
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3273963396527203
White,White,THE BRONX,Bronx,0.2938126189960836
Latino,Latino,THE BRONX,Bronx,0.1552567726764839
Black,Black,THE BRONX,Bronx,0.1617358102935436
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.2953131948627945
White,White,%all%,%all%,0.302497486927549
Latino,Latino,%all%,%all%,0.1798043398429602
Black,Black,%all%,%all%,0.1635503064877252
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.351574443801362
