Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,354933,0.1031167772451816,0.1031167772451816
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,5370,0.0015601172441183,0.0015601172441183
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,10033,0.0029148335773256,0.0029148335773256
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,467086,0.1356999856771359,0.1356999856771359
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,748152,0.2173565803392107,0.2173565803392107
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,731625,0.21255507983762,0.21255507983762
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1124850,0.326796626079408,0.326796626079408
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,64183,0.1060276670047676,0.1060276670047676
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,857,0.0014157286294359,0.0014157286294359
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1508,0.0024911537610144,0.0024911537610144
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,48621,0.080319885287986,0.080319885287986
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,73877,0.1220417549087954,0.1220417549087954
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,79973,0.1321120953114108,0.1321120953114108
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,336323,0.55559171509659,0.55559171509659
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,263829,0.1009114692900255,0.1009114692900255
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,4288,0.0016401092386191,0.0016401092386191
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,7495,0.0028667487741254,0.0028667487741254
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,328919,0.1258076237540448,0.1258076237540448
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,592956,0.2267986505817645,0.2267986505817645
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,591183,0.2261204990705538,0.2261204990705538
18 to 64 years,18 to 64 years,White,White,NYC,NYC,825790,0.315854899290867,0.315854899290867
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,46419,0.1026950850427426,0.1026950850427426
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,711,0.0015729810091857,0.0015729810091857
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1122,0.0024822569512044,0.0024822569512044
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,39038,0.0863657280402117,0.0863657280402117
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,62862,0.1390727597741633,0.1390727597741633
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,66024,0.146068211182103,0.146068211182103
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,235832,0.5217429780003894,0.5217429780003894
65+ years,65+ years,Other,Other,NYC,NYC,87175,0.1090509471514154,0.1090509471514154
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,1016,0.0012709579845809,0.0012709579845809
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2281,0.0028534007508159,0.0028534007508159
65+ years,65+ years,Black,Black,NYC,NYC,134867,0.1687109158528241,0.1687109158528241
65+ years,65+ years,Latino,Latino,NYC,NYC,148892,0.1862553900002127,0.1862553900002127
65+ years,65+ years,Asian,Asian,NYC,NYC,132624,0.1659050509321401,0.1659050509321401
65+ years,65+ years,White,White,NYC,NYC,292542,0.365953337328011,0.365953337328011
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,17388,0.1168611215656756,0.1168611215656756
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,136,0.0009140276358944,0.0009140276358944
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,375,0.00252029679015,0.00252029679015
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,9321,0.0626444970159686,0.0626444970159686
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,10289,0.0691502231302758,0.0691502231302758
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,13206,0.0887547717619227,0.0887547717619227
65+ years,65+ years,White,White,Non- NYC,Non- NYC,98077,0.659155062100113,0.659155062100113
