Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-05-13,5/13,28298,28298
2021-05-12,5/12,35526,35526
2021-05-11,5/11,44877,44877
2021-05-10,5/10,39587,39587
2021-05-09,5/9,24310,24310
2021-05-08,5/8,53037,53037
2021-05-07,5/7,71482,71482
2021-05-06,5/6,68560,68560
2021-05-05,5/5,66426,66426
2021-05-04,5/4,76291,76291
2021-05-03,5/3,71320,71320
2021-05-02,5/2,49175,49175
2021-05-01,5/1,66105,66105
2021-04-30,4/30,68411,68411
2021-04-29,4/29,69618,69618
2021-04-28,4/28,67062,67062
2021-04-27,4/27,61284,61284
2021-04-26,4/26,51875,51875
2021-04-25,4/25,38365,38365
2021-04-24,4/24,61544,61544
2021-04-23,4/23,70186,70186
2021-04-22,4/22,73621,73621
2021-04-21,4/21,70494,70494
2021-04-20,4/20,66747,66747
2021-04-19,4/19,61433,61433
2021-04-18,4/18,39474,39474
2021-04-17,4/17,73834,73834
2021-04-16,4/16,89894,89894
2021-04-15,4/15,92303,92303
2021-04-14,4/14,86823,86823
2021-04-13,4/13,83320,83320
2021-04-12,4/12,86148,86148
2021-04-11,4/11,69702,69702
2021-04-10,4/10,93808,93808
2021-04-09,4/9,113535,113535
2021-04-08,4/8,115990,115990
2021-04-07,4/7,104681,104681
2021-04-06,4/6,97266,97266
2021-04-05,4/5,84228,84228
2021-04-04,4/4,52189,52189
2021-04-03,4/3,86310,86310
2021-04-02,4/2,107257,107257
2021-04-01,4/1,113778,113778
2021-03-31,3/31,99638,99638
2021-03-30,3/30,84276,84276
2021-03-29,3/29,74666,74666
2021-03-28,3/28,60404,60404
2021-03-27,3/27,81937,81937
2021-03-26,3/26,95500,95500
2021-03-25,3/25,96647,96647
2021-03-24,3/24,81965,81965
2021-03-23,3/23,73565,73565
2021-03-22,3/22,62913,62913
2021-03-21,3/21,48392,48392
2021-03-20,3/20,67552,67552
2021-03-19,3/19,81234,81234
2021-03-18,3/18,80852,80852
2021-03-17,3/17,69973,69973
2021-03-16,3/16,62299,62299
2021-03-15,3/15,54095,54095
2021-03-14,3/14,50576,50576
2021-03-13,3/13,71543,71543
2021-03-12,3/12,84666,84666
2021-03-11,3/11,84612,84612
2021-03-10,3/10,70535,70535
2021-03-09,3/9,58444,58444
2021-03-08,3/8,62159,62159
2021-03-07,3/7,56686,56686
2021-03-06,3/6,70590,70590
2021-03-05,3/5,86908,86908
2021-03-04,3/4,82351,82351
2021-03-03,3/3,63527,63527
2021-03-02,3/2,58429,58429
2021-03-01,3/1,50952,50952
2021-02-28,2/28,57924,57924
2021-02-27,2/27,73246,73246
2021-02-26,2/26,93353,93353
2021-02-25,2/25,83583,83583
2021-02-24,2/24,55646,55646
2021-02-23,2/23,38640,38640
2021-02-22,2/22,24237,24237
2021-02-21,2/21,23596,23596
2021-02-20,2/20,36941,36941
2021-02-19,2/19,36513,36513
2021-02-18,2/18,36134,36134
2021-02-17,2/17,37546,37546
2021-02-16,2/16,40160,40160
2021-02-15,2/15,22695,22695
2021-02-14,2/14,39606,39606
2021-02-13,2/13,52656,52656
2021-02-12,2/12,68008,68008
2021-02-11,2/11,60370,60370
2021-02-10,2/10,47966,47966
2021-02-09,2/9,44589,44589
2021-02-08,2/8,39637,39637
2021-02-07,2/7,20023,20023
2021-02-06,2/6,33803,33803
2021-02-05,2/5,46588,46588
2021-02-04,2/4,45838,45838
2021-02-03,2/3,36594,36594
2021-02-02,2/2,11993,11993
2021-02-01,2/1,6338,6338
2021-01-31,1/31,15608,15608
2021-01-30,1/30,21936,21936
2021-01-29,1/29,42596,42596
2021-01-28,1/28,41832,41832
2021-01-27,1/27,32482,32482
2021-01-26,1/26,26859,26859
2021-01-25,1/25,24019,24019
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18494,18494
2021-01-22,1/22,28494,28494
2021-01-21,1/21,33063,33063
2021-01-20,1/20,43838,43838
2021-01-19,1/19,43228,43228
2021-01-18,1/18,29083,29083
2021-01-17,1/17,25278,25278
2021-01-16,1/16,32301,32301
2021-01-15,1/15,32378,32378
2021-01-14,1/14,40711,40711
2021-01-13,1/13,40808,40808
2021-01-12,1/12,35622,35622
2021-01-11,1/11,32900,32900
2021-01-10,1/10,8787,8787
2021-01-09,1/9,9085,9085
2021-01-08,1/8,21805,21805
2021-01-07,1/7,21450,21450
2021-01-06,1/6,21505,21505
2021-01-05,1/5,16019,16019
2021-01-04,1/4,12967,12967
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3812,3812
2021-01-01,1/1,166,166
2020-12-31,12/31,7234,7234
2020-12-30,12/30,12811,12811
2020-12-29,12/29,10711,10711
2020-12-28,12/28,10955,10955
2020-12-27,12/27,3839,3839
2020-12-26,12/26,4349,4349
2020-12-25,12/25,179,179
2020-12-24,12/24,7237,7237
2020-12-23,12/23,14253,14253
2020-12-22,12/22,9755,9755
2020-12-21,12/21,6271,6271
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5785,5785
2020-12-17,12/17,4495,4495
2020-12-16,12/16,4514,4514
2020-12-15,12/15,2039,2039
2020-12-14,12/14,77,77
