Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3482591975071469
Latino,Latino,STATEN ISLAND,Staten Island,0.2554886166204111
Black,Black,STATEN ISLAND,Staten Island,0.2321568451914684
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5640229009125194
White,White,QUEENS,Queens,0.3788334761357119
Latino,Latino,QUEENS,Queens,0.3284882797948051
Black,Black,QUEENS,Queens,0.2383400762570587
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5736334342149259
White,White,MANHATTAN,Manhattan,0.5372420038777111
Latino,Latino,MANHATTAN,Manhattan,0.3466712168376088
Black,Black,MANHATTAN,Manhattan,0.316142967500272
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.620945607402654
White,White,BROOKLYN,Brooklyn,0.3461394629372294
Latino,Latino,BROOKLYN,Brooklyn,0.2739606226443571
Black,Black,BROOKLYN,Brooklyn,0.2344568815686027
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5667943047371958
White,White,THE BRONX,Bronx,0.3786185483276305
Latino,Latino,THE BRONX,Bronx,0.2376466118107906
Black,Black,THE BRONX,Bronx,0.2314400181138397
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4398281625616089
White,White,%all%,%all%,0.4092773387979609
Latino,Latino,%all%,%all%,0.2878188967605907
Black,Black,%all%,%all%,0.2435328680153003
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5729579570085972
