Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,361395,0.1029276984148232,0.1029276984148232
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,5438,0.0015487785497304,0.0015487785497304
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,10259,0.0029218313978823,0.0029218313978823
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,477607,0.1360256485474576,0.1360256485474576
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,772787,0.2200948747904535,0.2200948747904535
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,745044,0.2121934839656706,0.2121934839656706
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1138624,0.3242876843339826,0.3242876843339826
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,67014,0.1091881358472859,0.1091881358472859
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,866,0.0014110025613118,0.0014110025613118
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1531,0.0024945091470767,0.0024945091470767
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,49417,0.0805167593214153,0.0805167593214153
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,75419,0.1228826814914265,0.1228826814914265
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,80969,0.1319254808162308,0.1319254808162308
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,338532,0.5515814308152532,0.5515814308152532
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,267582,0.1004117308004059,0.1004117308004059
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,4339,0.0016282354565814,0.0016282354565814
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,7636,0.0028654542397915,0.0028654542397915
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,336886,0.1264184673947632,0.1264184673947632
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,613285,0.230138829681843,0.230138829681843
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,601107,0.2255689630327884,0.2255689630327884
18 to 64 years,18 to 64 years,White,White,NYC,NYC,834013,0.3129683193938266,0.3129683193938266
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,48101,0.1049777172513433,0.1049777172513433
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,717,0.0015648120261369,0.0015648120261369
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1138,0.002483620761149,0.002483620761149
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,39709,0.0866626509705327,0.0866626509705327
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,64196,0.1401041462062584,0.1401041462062584
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,66790,0.1457654047778054,0.1457654047778054
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,237551,0.5184416480067744,0.5184416480067744
65+ years,65+ years,Other,Other,NYC,NYC,88214,0.1094829180386058,0.1094829180386058
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,1017,0.0012622047253867,0.0012622047253867
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2292,0.0028446147793376,0.0028446147793376
65+ years,65+ years,Black,Black,NYC,NYC,136181,0.1690150459271248,0.1690150459271248
65+ years,65+ years,Latino,Latino,NYC,NYC,150704,0.1870396272710687,0.1870396272710687
65+ years,65+ years,Asian,Asian,NYC,NYC,133574,0.165779482781517,0.165779482781517
65+ years,65+ years,White,White,NYC,NYC,293751,0.3645761064769595,0.3645761064769595
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,18432,0.1231566920347715,0.1231566920347715
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,137,0.0009153899093296,0.0009153899093296
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,379,0.0025323560265396,0.0025323560265396
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,9345,0.062440282501353,0.062440282501353
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,10327,0.0690016904645771,0.0690016904645771
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,13191,0.0881380167442855,0.0881380167442855
65+ years,65+ years,White,White,Non- NYC,Non- NYC,97852,0.6538155723191438,0.6538155723191438
