Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.4487661279094749
Latino,Latino,STATEN ISLAND,Staten Island,0.4086817577505058
Black,Black,STATEN ISLAND,Staten Island,0.3423810653223791
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.7454454922702136
White,White,QUEENS,Queens,0.4719614783434564
Latino,Latino,QUEENS,Queens,0.5031045387774282
Black,Black,QUEENS,Queens,0.3227094066006285
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.7495690853987904
White,White,MANHATTAN,Manhattan,0.6208944035798633
Latino,Latino,MANHATTAN,Manhattan,0.4832372779991584
Black,Black,MANHATTAN,Manhattan,0.4086891390338101
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.73487543858011
White,White,BROOKLYN,Brooklyn,0.4679428277451346
Latino,Latino,BROOKLYN,Brooklyn,0.4229810396924798
Black,Black,BROOKLYN,Brooklyn,0.3257659555075898
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.7720813321520282
White,White,THE BRONX,Bronx,0.4704579252829332
Latino,Latino,THE BRONX,Bronx,0.3762668454441483
Black,Black,THE BRONX,Bronx,0.331505890979785
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.603784690442817
White,White,%all%,%all%,0.513737082073617
Latino,Latino,%all%,%all%,0.4394535242741366
Black,Black,%all%,%all%,0.3362415994613827
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.745866410359157
