Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.2868310354443872
Latino,Latino,STATEN ISLAND,Staten Island,0.1749201556960086
Black,Black,STATEN ISLAND,Staten Island,0.1663078809470269
Asian,Asian,STATEN ISLAND,Staten Island,0.3539168886068514
White,White,QUEENS,Queens,0.2570475623039114
Latino,Latino,QUEENS,Queens,0.1752060217066673
Black,Black,QUEENS,Queens,0.1542240318641334
Asian,Asian,QUEENS,Queens,0.3285835942739919
White,White,MANHATTAN,Manhattan,0.3570509710063496
Latino,Latino,MANHATTAN,Manhattan,0.21543978551318
Black,Black,MANHATTAN,Manhattan,0.2029047854640299
Asian,Asian,MANHATTAN,Manhattan,0.299505379336484
White,White,BROOKLYN,Brooklyn,0.2414666969752831
Latino,Latino,BROOKLYN,Brooklyn,0.1574350237185515
Black,Black,BROOKLYN,Brooklyn,0.1553124291946726
Asian,Asian,BROOKLYN,Brooklyn,0.3043633448719137
White,White,THE BRONX,Bronx,0.2758593353982441
Latino,Latino,THE BRONX,Bronx,0.1528759659356186
Black,Black,THE BRONX,Bronx,0.160196311358363
Asian,Asian,THE BRONX,Bronx,0.2914757075295159
White,White,%all%,%all%,0.2865543755776968
Latino,Latino,%all%,%all%,0.1717366515312986
Black,Black,%all%,%all%,0.1618568840121892
Asian,Asian,%all%,%all%,0.316674493225386
