Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.46803998788246
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6195083336998108
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6303821342077628
STATEN ISLAND,Staten Island,55to64,55 to 64,0.4310751549977318
STATEN ISLAND,Staten Island,45to54,45 to 54,0.2950196347316587
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2355088383411634
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1736738824765525
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1100522690448651
STATEN ISLAND,Staten Island,%all%,%all%,0.3352805721698867
QUEENS,Queens,85andUp,85+,0.4018774106281156
QUEENS,Queens,75to84,75 to 84,0.5056409192862988
QUEENS,Queens,65to74,65 to 74,0.5542543274660806
QUEENS,Queens,55to64,55 to 64,0.3889410621394163
QUEENS,Queens,45to54,45 to 54,0.2828601643457496
QUEENS,Queens,35to44,35 to 44,0.2419888750660543
QUEENS,Queens,25to34,25 to 34,0.1891320072790547
QUEENS,Queens,18to24,18 to 24,0.1135663500019453
QUEENS,Queens,%all%,%all%,0.3065438078476536
MANHATTAN,Manhattan,85andUp,85+,0.5238587183660256
MANHATTAN,Manhattan,75to84,75 to 84,0.6552459137731204
MANHATTAN,Manhattan,65to74,65 to 74,0.6677021755412627
MANHATTAN,Manhattan,55to64,55 to 64,0.4815172805331788
MANHATTAN,Manhattan,45to54,45 to 54,0.3498160749417826
MANHATTAN,Manhattan,35to44,35 to 44,0.292640451762678
MANHATTAN,Manhattan,25to34,25 to 34,0.2521712484766309
MANHATTAN,Manhattan,18to24,18 to 24,0.1750778706249306
MANHATTAN,Manhattan,%all%,%all%,0.3718531320707973
BROOKLYN,Brooklyn,85andUp,85+,0.3263436641820322
BROOKLYN,Brooklyn,75to84,75 to 84,0.4450736445373661
BROOKLYN,Brooklyn,65to74,65 to 74,0.4864941995690702
BROOKLYN,Brooklyn,55to64,55 to 64,0.3316114581692827
BROOKLYN,Brooklyn,45to54,45 to 54,0.251166349545987
BROOKLYN,Brooklyn,35to44,35 to 44,0.2161537043348064
BROOKLYN,Brooklyn,25to34,25 to 34,0.1825861999272404
BROOKLYN,Brooklyn,18to24,18 to 24,0.0915469512597725
BROOKLYN,Brooklyn,%all%,%all%,0.2607560591071677
THE BRONX,Bronx,85andUp,85+,0.362085945807896
THE BRONX,Bronx,75to84,75 to 84,0.4964014788919582
THE BRONX,Bronx,65to74,65 to 74,0.559630428633598
THE BRONX,Bronx,55to64,55 to 64,0.397137737663082
THE BRONX,Bronx,45to54,45 to 54,0.2657931554305964
THE BRONX,Bronx,35to44,35 to 44,0.1897706054088178
THE BRONX,Bronx,25to34,25 to 34,0.1172745527168271
THE BRONX,Bronx,18to24,18 to 24,0.0678113866957975
THE BRONX,Bronx,%all%,%all%,0.2598242591428486
%all%,%all%,85andUp,85+,0.4052520984922152
%all%,%all%,75to84,75 to 84,0.527607551813267
%all%,%all%,65to74,65 to 74,0.5634930682600742
%all%,%all%,55to64,55 to 64,0.3935252691807515
%all%,%all%,45to54,45 to 54,0.2842064922521149
%all%,%all%,35to44,35 to 44,0.2356201831989628
%all%,%all%,25to34,25 to 34,0.1906707492557453
%all%,%all%,18to24,18 to 24,0.1104529906611574
%all%,%all%,%all%,%all%,0.3005344061105628
