Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,153334,0.109919603717656,0.109919603717656
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,2373,0.0017011179491959,0.0017011179491959
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,4061,0.0029111841515737,0.0029111841515737
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,177802,0.1274598287412229,0.1274598287412229
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,275299,0.1973519048865025,0.1973519048865025
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,286411,0.205317696142914,0.205317696142914
18 to 64 years,18 to 64 years,White,White,NYC,NYC,495685,0.3553386644109351,0.3553386644109351
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,36070,0.110930344846675,0.110930344846675
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,558,0.0017160835160644,0.0017160835160644
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,810,0.0024910889749323,0.0024910889749323
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,26036,0.0800715957423907,0.0800715957423907
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,37482,0.1152728357511248,0.1152728357511248
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,43922,0.1350785308110801,0.1350785308110801
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,180281,0.5544395203577328,0.5544395203577328
65+ years,65+ years,Other,Other,NYC,NYC,69051,0.1094737409513059,0.1094737409513059
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,806,0.0012778357331067,0.0012778357331067
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,1770,0.0028061653196016,0.0028061653196016
65+ years,65+ years,Black,Black,NYC,NYC,99598,0.1579030810743967,0.1579030810743967
65+ years,65+ years,Latino,Latino,NYC,NYC,108957,0.1727408783773072,0.1727408783773072
65+ years,65+ years,Asian,Asian,NYC,NYC,102682,0.1627924674278721,0.1627924674278721
65+ years,65+ years,White,White,NYC,NYC,247890,0.3930058311164099,0.3930058311164099
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,15850,0.1194117558425121,0.1194117558425121
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,128,0.0009643346844064,0.0009643346844064
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,316,0.0023807012521283,0.0023807012521283
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,7398,0.0557355312128015,0.0557355312128015
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,8423,0.0634577425527747,0.0634577425527747
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,11596,0.0873626953154429,0.0873626953154429
65+ years,65+ years,White,White,Non- NYC,Non- NYC,89023,0.670687239139934,0.670687239139934
%all%,All,Other,Other,NYC,NYC,222385,0.1097807741350108,0.1097807741350108
%all%,All,NH/PI,NH/PI,NYC,NYC,3179,0.0015693193379733,0.0015693193379733
%all%,All,AI/AN,AI/AN,NYC,NYC,5831,0.002878484133288,0.002878484133288
%all%,All,Black,Black,NYC,NYC,277400,0.1369390325114194,0.1369390325114194
%all%,All,Latino,Latino,NYC,NYC,384256,0.1896886981856812,0.1896886981856812
%all%,All,Asian,Asian,NYC,NYC,389093,0.192076492346668,0.192076492346668
%all%,All,White,White,NYC,NYC,743575,0.3670671993499592,0.3670671993499592
%all%,All,Other,Other,Non- NYC,Non- NYC,51920,0.11338893584309,0.11338893584309
%all%,All,NH/PI,NH/PI,Non- NYC,Non- NYC,686,0.0014981666022411,0.0014981666022411
%all%,All,AI/AN,AI/AN,Non- NYC,Non- NYC,1126,0.0024590897873521,0.0024590897873521
%all%,All,Black,Black,Non- NYC,Non- NYC,33434,0.073017058570452,0.073017058570452
%all%,All,Latino,Latino,Non- NYC,Non- NYC,45905,0.1002526791193576,0.1002526791193576
%all%,All,Asian,Asian,Non- NYC,Non- NYC,55518,0.1212466667977017,0.1212466667977017
%all%,All,White,White,Non- NYC,Non- NYC,269304,0.5881374032798056,0.5881374032798056
