Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3118216651215583
Latino,Latino,STATEN ISLAND,Staten Island,0.1980978812698843
Black,Black,STATEN ISLAND,Staten Island,0.1871712808576352
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4603825937432832
White,White,QUEENS,Queens,0.3104470634067254
Latino,Latino,QUEENS,Queens,0.2254186645395246
Black,Black,QUEENS,Queens,0.1815491082422375
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4329242778441501
White,White,MANHATTAN,Manhattan,0.461978635666008
Latino,Latino,MANHATTAN,Manhattan,0.2724284846542951
Black,Black,MANHATTAN,Manhattan,0.257963897100915
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.489780466237945
White,White,BROOKLYN,Brooklyn,0.2866633094931518
Latino,Latino,BROOKLYN,Brooklyn,0.1989708050173773
Black,Black,BROOKLYN,Brooklyn,0.1822945836718703
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4162730725348921
White,White,THE BRONX,Bronx,0.3166978748475762
Latino,Latino,THE BRONX,Bronx,0.1809252697375181
Black,Black,THE BRONX,Bronx,0.1859159294837654
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3474953194869603
White,White,%all%,%all%,0.3457454503694291
Latino,Latino,%all%,%all%,0.2122718776690777
Black,Black,%all%,%all%,0.1913483488220268
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4350832737536496
