Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3079124822430039
Latino,Latino,STATEN ISLAND,Staten Island,0.204596222838963
Black,Black,STATEN ISLAND,Staten Island,0.1854703341465053
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4647400199308284
White,White,QUEENS,Queens,0.3277009144095202
Latino,Latino,QUEENS,Queens,0.2489328060429143
Black,Black,QUEENS,Queens,0.1942125376867277
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4585876789901474
White,White,MANHATTAN,Manhattan,0.4747468204103278
Latino,Latino,MANHATTAN,Manhattan,0.2880807287102468
Black,Black,MANHATTAN,Manhattan,0.2596697494660209
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.508058505376535
White,White,BROOKLYN,Brooklyn,0.2977451692822873
Latino,Latino,BROOKLYN,Brooklyn,0.2113571190810434
Black,Black,BROOKLYN,Brooklyn,0.188406654518778
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4347092196364659
White,White,THE BRONX,Bronx,0.3289413695281118
Latino,Latino,THE BRONX,Bronx,0.1888359761045813
Black,Black,THE BRONX,Bronx,0.189691796659985
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3562642640152686
White,White,%all%,%all%,0.3570766479640385
Latino,Latino,%all%,%all%,0.2264364021967412
Black,Black,%all%,%all%,0.197726754910595
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4559807464402152
