Date-value,Date-alias,SUM(Total Doses Administered (daily))-value,SUM(Total Doses Administered (daily))-alias
2021-04-27,4/27,31716,31716
2021-04-26,4/26,45126,45126
2021-04-25,4/25,32497,32497
2021-04-24,4/24,53946,53946
2021-04-23,4/23,63848,63848
2021-04-22,4/22,63056,63056
2021-04-21,4/21,67634,67634
2021-04-20,4/20,65268,65268
2021-04-19,4/19,60789,60789
2021-04-18,4/18,38811,38811
2021-04-17,4/17,68387,68387
2021-04-16,4/16,85047,85047
2021-04-15,4/15,86344,86344
2021-04-14,4/14,82409,82409
2021-04-13,4/13,76682,76682
2021-04-12,4/12,78815,78815
2021-04-11,4/11,62881,62881
2021-04-10,4/10,93287,93287
2021-04-09,4/9,112961,112961
2021-04-08,4/8,115325,115325
2021-04-07,4/7,103425,103425
2021-04-06,4/6,96765,96765
2021-04-05,4/5,83686,83686
2021-04-04,4/4,52011,52011
2021-04-03,4/3,85759,85759
2021-04-02,4/2,106687,106687
2021-04-01,4/1,113245,113245
2021-03-31,3/31,99381,99381
2021-03-30,3/30,84091,84091
2021-03-29,3/29,74401,74401
2021-03-28,3/28,60302,60302
2021-03-27,3/27,81611,81611
2021-03-26,3/26,95111,95111
2021-03-25,3/25,96086,96086
2021-03-24,3/24,81621,81621
2021-03-23,3/23,73294,73294
2021-03-22,3/22,62569,62569
2021-03-21,3/21,48104,48104
2021-03-20,3/20,67045,67045
2021-03-19,3/19,80917,80917
2021-03-18,3/18,80592,80592
2021-03-17,3/17,69766,69766
2021-03-16,3/16,61952,61952
2021-03-15,3/15,53842,53842
2021-03-14,3/14,49808,49808
2021-03-13,3/13,71027,71027
2021-03-12,3/12,84132,84132
2021-03-11,3/11,83882,83882
2021-03-10,3/10,70184,70184
2021-03-09,3/9,58092,58092
2021-03-08,3/8,61706,61706
2021-03-07,3/7,56401,56401
2021-03-06,3/6,70198,70198
2021-03-05,3/5,86237,86237
2021-03-04,3/4,81912,81912
2021-03-03,3/3,63273,63273
2021-03-02,3/2,58193,58193
2021-03-01,3/1,50636,50636
2021-02-28,2/28,57854,57854
2021-02-27,2/27,73151,73151
2021-02-26,2/26,93087,93087
2021-02-25,2/25,83526,83526
2021-02-24,2/24,55588,55588
2021-02-23,2/23,38578,38578
2021-02-22,2/22,24171,24171
2021-02-21,2/21,23595,23595
2021-02-20,2/20,36936,36936
2021-02-19,2/19,36497,36497
2021-02-18,2/18,36147,36147
2021-02-17,2/17,37542,37542
2021-02-16,2/16,40113,40113
2021-02-15,2/15,22673,22673
2021-02-14,2/14,39527,39527
2021-02-13,2/13,52267,52267
2021-02-12,2/12,67808,67808
2021-02-11,2/11,60359,60359
2021-02-10,2/10,47841,47841
2021-02-09,2/9,44610,44610
2021-02-08,2/8,39631,39631
2021-02-07,2/7,20011,20011
2021-02-06,2/6,33661,33661
2021-02-05,2/5,46570,46570
2021-02-04,2/4,45815,45815
2021-02-03,2/3,36577,36577
2021-02-02,2/2,11950,11950
2021-02-01,2/1,6325,6325
2021-01-31,1/31,15612,15612
2021-01-30,1/30,21939,21939
2021-01-29,1/29,42586,42586
2021-01-28,1/28,41822,41822
2021-01-27,1/27,32465,32465
2021-01-26,1/26,26876,26876
2021-01-25,1/25,24013,24013
2021-01-24,1/24,10339,10339
2021-01-23,1/23,18491,18491
2021-01-22,1/22,28496,28496
2021-01-21,1/21,33057,33057
2021-01-20,1/20,43842,43842
2021-01-19,1/19,43212,43212
2021-01-18,1/18,29077,29077
2021-01-17,1/17,25284,25284
2021-01-16,1/16,32292,32292
2021-01-15,1/15,32355,32355
2021-01-14,1/14,40713,40713
2021-01-13,1/13,40799,40799
2021-01-12,1/12,35623,35623
2021-01-11,1/11,32904,32904
2021-01-10,1/10,8776,8776
2021-01-09,1/9,9087,9087
2021-01-08,1/8,21797,21797
2021-01-07,1/7,21435,21435
2021-01-06,1/6,21497,21497
2021-01-05,1/5,16020,16020
2021-01-04,1/4,12964,12964
2021-01-03,1/3,3541,3541
2021-01-02,1/2,3805,3805
2021-01-01,1/1,164,164
2020-12-31,12/31,7233,7233
2020-12-30,12/30,12795,12795
2020-12-29,12/29,10673,10673
2020-12-28,12/28,10946,10946
2020-12-27,12/27,3837,3837
2020-12-26,12/26,4348,4348
2020-12-25,12/25,179,179
2020-12-24,12/24,7236,7236
2020-12-23,12/23,14244,14244
2020-12-22,12/22,9752,9752
2020-12-21,12/21,6272,6272
2020-12-20,12/20,1104,1104
2020-12-19,12/19,1685,1685
2020-12-18,12/18,5786,5786
2020-12-17,12/17,4493,4493
2020-12-16,12/16,4509,4509
2020-12-15,12/15,2039,2039
2020-12-14,12/14,77,77
