Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.341215284427076
Latino,Latino,STATEN ISLAND,Staten Island,0.2356064129408729
Black,Black,STATEN ISLAND,Staten Island,0.2077806482508595
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4719853406540996
White,White,QUEENS,Queens,0.3366704157420362
Latino,Latino,QUEENS,Queens,0.2578040657382013
Black,Black,QUEENS,Queens,0.2020614113398742
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4442234914129084
White,White,MANHATTAN,Manhattan,0.4604815178899214
Latino,Latino,MANHATTAN,Manhattan,0.2965713299429023
Black,Black,MANHATTAN,Manhattan,0.2655847814457486
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.4406305823408197
White,White,BROOKLYN,Brooklyn,0.3208351305399532
Latino,Latino,BROOKLYN,Brooklyn,0.2247604861135757
Black,Black,BROOKLYN,Brooklyn,0.1961082175743272
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.41903591266262
White,White,THE BRONX,Bronx,0.3541854071309665
Latino,Latino,THE BRONX,Bronx,0.2161453477867109
Black,Black,THE BRONX,Bronx,0.214412914076442
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3793193655538752
White,White,%all%,%all%,0.3706918604800267
Latino,Latino,%all%,%all%,0.2440533707239968
Black,Black,%all%,%all%,0.2097153889100707
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4354537170987983
