Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3243247054012993
Latino,Latino,STATEN ISLAND,Staten Island,0.2285250118459352
Black,Black,STATEN ISLAND,Staten Island,0.2065531210134062
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5096234636653184
White,White,QUEENS,Queens,0.3492407651633686
Latino,Latino,QUEENS,Queens,0.2903743458555377
Black,Black,QUEENS,Queens,0.2145836098160911
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5114965286751998
White,White,MANHATTAN,Manhattan,0.498866827707213
Latino,Latino,MANHATTAN,Manhattan,0.3212878078916081
Black,Black,MANHATTAN,Manhattan,0.2843370750153957
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.557278090273736
White,White,BROOKLYN,Brooklyn,0.3192310797774917
Latino,Latino,BROOKLYN,Brooklyn,0.2451233152566062
Black,Black,BROOKLYN,Brooklyn,0.2106620073465803
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4962630698779364
White,White,THE BRONX,Bronx,0.3467557714883041
Latino,Latino,THE BRONX,Bronx,0.2145703025638655
Black,Black,THE BRONX,Bronx,0.2086051274867211
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3920822953070794
White,White,%all%,%all%,0.3786130077226642
Latino,Latino,%all%,%all%,0.2591019933239533
Black,Black,%all%,%all%,0.2190417822294079
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.509389271766039
