Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,88512,64202,0.3826222279859941
STATEN ISLAND,Staten Island,F,Female,102671,76589,0.4193854084546164
QUEENS,Queens,M,Male,468186,306834,0.4240184772347968
QUEENS,Queens,F,Female,536694,362727,0.461011538929514
MANHATTAN,Manhattan,M,Male,397985,276110,0.5211889972881114
MANHATTAN,Manhattan,F,Female,463528,332929,0.5467354345145194
BROOKLYN,Brooklyn,M,Male,421404,269791,0.3476374243726665
BROOKLYN,Brooklyn,F,Female,507694,339856,0.3767089186167044
THE BRONX,Bronx,M,Male,208185,148134,0.3120542158687632
THE BRONX,Bronx,F,Female,259705,190147,0.3444925798368535
%all%,%all%,M,Male,1584272,1065071,0.398214217013367
%all%,%all%,F,Female,1870292,1302248,0.4291259520242926
