Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3370674430983006
Latino,Latino,STATEN ISLAND,Staten Island,0.2361176921861956
Black,Black,STATEN ISLAND,Staten Island,0.2169826100579665
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.5387185649803624
White,White,QUEENS,Queens,0.3597599799306302
Latino,Latino,QUEENS,Queens,0.2961710227535683
Black,Black,QUEENS,Queens,0.2212590007672238
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.5347370042969556
White,White,MANHATTAN,Manhattan,0.5172690736907553
Latino,Latino,MANHATTAN,Manhattan,0.3237763773961179
Black,Black,MANHATTAN,Manhattan,0.2960279165909157
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5873915048092392
White,White,BROOKLYN,Brooklyn,0.3316494345924859
Latino,Latino,BROOKLYN,Brooklyn,0.2518653900624175
Black,Black,BROOKLYN,Brooklyn,0.2185581350098472
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.5265898754356626
White,White,THE BRONX,Bronx,0.3588664394875577
Latino,Latino,THE BRONX,Bronx,0.2179425066440314
Black,Black,THE BRONX,Bronx,0.2144595427676636
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4085499588503987
White,White,%all%,%all%,0.3923573514453522
Latino,Latino,%all%,%all%,0.2637909052273693
Black,Black,%all%,%all%,0.226681520038908
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.5355224611354023
