Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6630,6630
2020-12-17,12/17,11125,11125
2020-12-18,12/18,16910,16910
2020-12-19,12/19,18595,18595
2020-12-20,12/20,19699,19699
2020-12-21,12/21,25970,25970
2020-12-22,12/22,35726,35726
2020-12-23,12/23,49979,49979
2020-12-24,12/24,57217,57217
2020-12-25,12/25,57396,57396
2020-12-26,12/26,61745,61745
2020-12-27,12/27,65584,65584
2020-12-28,12/28,76539,76539
2020-12-29,12/29,87251,87251
2020-12-30,12/30,100061,100061
2020-12-31,12/31,107296,107296
2021-01-01,1/1,107462,107462
2021-01-02,1/2,111274,111274
2021-01-03,1/3,114815,114815
2021-01-04,1/4,127784,127784
2021-01-05,1/5,143803,143803
2021-01-06,1/6,165306,165306
2021-01-07,1/7,186757,186757
2021-01-08,1/8,208572,208572
2021-01-09,1/9,217657,217657
2021-01-10,1/10,226444,226444
2021-01-11,1/11,259344,259344
2021-01-12,1/12,294966,294966
2021-01-13,1/13,335776,335776
2021-01-14,1/14,376487,376487
2021-01-15,1/15,408863,408863
2021-01-16,1/16,441164,441164
2021-01-17,1/17,466380,466380
2021-01-18,1/18,495186,495186
2021-01-19,1/19,538246,538246
2021-01-20,1/20,582084,582084
2021-01-21,1/21,615148,615148
2021-01-22,1/22,643642,643642
2021-01-23,1/23,662025,662025
2021-01-24,1/24,672366,672366
2021-01-25,1/25,696385,696385
2021-01-26,1/26,723106,723106
2021-01-27,1/27,755584,755584
2021-01-28,1/28,797417,797417
2021-01-29,1/29,840022,840022
2021-01-30,1/30,861962,861962
2021-01-31,1/31,877570,877570
2021-02-01,2/1,883908,883908
2021-02-02,2/2,895901,895901
2021-02-03,2/3,932494,932494
2021-02-04,2/4,978332,978332
2021-02-05,2/5,1024925,1024925
2021-02-06,2/6,1058726,1058726
2021-02-07,2/7,1078749,1078749
2021-02-08,2/8,1118083,1118083
2021-02-09,2/9,1162408,1162408
2021-02-10,2/10,1210372,1210372
2021-02-11,2/11,1270743,1270743
2021-02-12,2/12,1338750,1338750
2021-02-13,2/13,1391285,1391285
2021-02-14,2/14,1430897,1430897
2021-02-15,2/15,1453638,1453638
2021-02-16,2/16,1493582,1493582
2021-02-17,2/17,1531122,1531122
2021-02-18,2/18,1567253,1567253
2021-02-19,2/19,1603783,1603783
2021-02-20,2/20,1640684,1640684
2021-02-21,2/21,1664270,1664270
2021-02-22,2/22,1688506,1688506
2021-02-23,2/23,1727148,1727148
2021-02-24,2/24,1782790,1782790
2021-02-25,2/25,1866380,1866380
2021-02-26,2/26,1959724,1959724
2021-02-27,2/27,2032945,2032945
2021-02-28,2/28,2090868,2090868
2021-03-01,3/1,2141802,2141802
2021-03-02,3/2,2200225,2200225
2021-03-03,3/3,2263701,2263701
2021-03-04,3/4,2346040,2346040
2021-03-05,3/5,2432951,2432951
2021-03-06,3/6,2503541,2503541
2021-03-07,3/7,2560223,2560223
2021-03-08,3/8,2622378,2622378
2021-03-09,3/9,2680822,2680822
