Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,296464,0.1042334465801125,0.1042334465801125
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4450,0.0015645705289057,0.0015645705289057
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,8417,0.0029593236273706,0.0029593236273706
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,378608,0.1331143637770631,0.1331143637770631
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,569318,0.2001658796349523,0.2001658796349523
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,595214,0.2092706253465348,0.2092706253465348
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,991760,0.348691790505061,0.348691790505061
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,59660,0.1081055614748454,0.1081055614748454
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,776,0.0014061333507288,0.0014061333507288
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1347,0.0024408010611233,0.0024408010611233
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,42491,0.0769948610899708,0.0769948610899708
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,62727,0.1136630498597491,0.1136630498597491
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,71243,0.1290942761674893,0.1290942761674893
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,313624,0.5682953169960934,0.5682953169960934
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,215933,0.1027094698499358,0.1027094698499358
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3489,0.0016595580124688,0.0016595580124688
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,6188,0.0029433490917618,0.0029433490917618
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,257588,0.1225228516239077,0.1225228516239077
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,435149,0.2069805129171072,0.2069805129171072
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,469963,0.2235399433115151,0.2235399433115151
18 to 64 years,18 to 64 years,White,White,NYC,NYC,714057,0.3396443151933036,0.3396443151933036
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,42528,0.104828810175257,0.104828810175257
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,636,0.0015676994749686,0.0015676994749686
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,995,0.0024526115999901,0.0024526115999901
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,33692,0.083048633192832,0.083048633192832
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,52662,0.1298084744509354,0.1298084744509354
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,58052,0.143094481007666,0.143094481007666
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,217125,0.535199290098351,0.535199290098351
65+ years,65+ years,Other,Other,NYC,NYC,78696,0.1080466587584025,0.1080466587584025
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,935,0.00128371995958,0.00128371995958
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2105,0.0028900861122095,0.0028900861122095
65+ years,65+ years,Black,Black,NYC,NYC,119672,0.164305171126049,0.164305171126049
65+ years,65+ years,Latino,Latino,NYC,NYC,131608,0.1806928518079171,0.1806928518079171
65+ years,65+ years,Asian,Asian,NYC,NYC,121531,0.1668575084574492,0.1668575084574492
65+ years,65+ years,White,White,NYC,NYC,273805,0.3759240037783929,0.3759240037783929
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,16885,0.1177500226643514,0.1177500226643514
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,134,0.0009344686429981,0.0009344686429981
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,343,0.0023919607802116,0.0023919607802116
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8676,0.0605033578108329,0.0605033578108329
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9659,0.0673584524083489,0.0673584524083489
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12763,0.0890046514222752,0.0890046514222752
65+ years,65+ years,White,White,Non- NYC,Non- NYC,94937,0.662057086270982,0.662057086270982
