Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2111,2111
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11107,11107
2020-12-18,12/18,16880,16880
2020-12-19,12/19,18565,18565
2020-12-20,12/20,19669,19669
2020-12-21,12/21,25938,25938
2020-12-22,12/22,35653,35653
2020-12-23,12/23,49872,49872
2020-12-24,12/24,57106,57106
2020-12-25,12/25,57285,57285
2020-12-26,12/26,61633,61633
2020-12-27,12/27,65470,65470
2020-12-28,12/28,76414,76414
2020-12-29,12/29,87087,87087
2020-12-30,12/30,99884,99884
2020-12-31,12/31,107118,107118
2021-01-01,1/1,107282,107282
2021-01-02,1/2,111087,111087
2021-01-03,1/3,114628,114628
2021-01-04,1/4,127588,127588
2021-01-05,1/5,143606,143606
2021-01-06,1/6,165092,165092
2021-01-07,1/7,186521,186521
2021-01-08,1/8,208310,208310
2021-01-09,1/9,217396,217396
2021-01-10,1/10,226168,226168
2021-01-11,1/11,259072,259072
2021-01-12,1/12,294693,294693
2021-01-13,1/13,335478,335478
2021-01-14,1/14,376186,376186
2021-01-15,1/15,408491,408491
2021-01-16,1/16,440777,440777
2021-01-17,1/17,466017,466017
2021-01-18,1/18,495080,495080
2021-01-19,1/19,538276,538276
2021-01-20,1/20,582457,582457
2021-01-21,1/21,615515,615515
2021-01-22,1/22,643991,643991
2021-01-23,1/23,662480,662480
2021-01-24,1/24,672819,672819
2021-01-25,1/25,696837,696837
2021-01-26,1/26,723696,723696
2021-01-27,1/27,756154,756154
2021-01-28,1/28,797976,797976
2021-01-29,1/29,840556,840556
2021-01-30,1/30,862488,862488
2021-01-31,1/31,878090,878090
2021-02-01,2/1,884411,884411
2021-02-02,2/2,896355,896355
2021-02-03,2/3,932916,932916
2021-02-04,2/4,978618,978618
2021-02-05,2/5,1025162,1025162
2021-02-06,2/6,1058803,1058803
2021-02-07,2/7,1078791,1078791
2021-02-08,2/8,1118416,1118416
2021-02-09,2/9,1163013,1163013
2021-02-10,2/10,1210544,1210544
2021-02-11,2/11,1270607,1270607
2021-02-12,2/12,1337688,1337688
2021-02-13,2/13,1389543,1389543
2021-02-14,2/14,1428915,1428915
2021-02-15,2/15,1451422,1451422
2021-02-16,2/16,1491379,1491379
2021-02-17,2/17,1528732,1528732
2021-02-18,2/18,1564618,1564618
2021-02-19,2/19,1600877,1600877
2021-02-20,2/20,1637092,1637092
2021-02-21,2/21,1660525,1660525
2021-02-22,2/22,1684651,1684651
2021-02-23,2/23,1723216,1723216
2021-02-24,2/24,1778779,1778779
2021-02-25,2/25,1862065,1862065
2021-02-26,2/26,1954310,1954310
2021-02-27,2/27,2026901,2026901
2021-02-28,2/28,2084253,2084253
2021-03-01,3/1,2134860,2134860
2021-03-02,3/2,2193059,2193059
2021-03-03,3/3,2256299,2256299
2021-03-04,3/4,2338018,2338018
2021-03-05,3/5,2423608,2423608
2021-03-06,3/6,2493665,2493665
2021-03-07,3/7,2549963,2549963
2021-03-08,3/8,2611631,2611631
2021-03-09,3/9,2669689,2669689
2021-03-10,3/10,2739720,2739720
2021-03-11,3/11,2822702,2822702
2021-03-12,3/12,2905765,2905765
2021-03-13,3/13,2975640,2975640
2021-03-14,3/14,3025129,3025129
2021-03-15,3/15,3078887,3078887
2021-03-16,3/16,3140691,3140691
2021-03-17,3/17,3210544,3210544
2021-03-18,3/18,3291481,3291481
2021-03-19,3/19,3371094,3371094
2021-03-20,3/20,3437115,3437115
2021-03-21,3/21,3485187,3485187
2021-03-22,3/22,3546237,3546237
2021-03-23,3/23,3617323,3617323
2021-03-24,3/24,3697599,3697599
2021-03-25,3/25,3792223,3792223
2021-03-26,3/26,3884537,3884537
2021-03-27,3/27,3963583,3963583
2021-03-28,3/28,4022607,4022607
2021-03-29,3/29,4096101,4096101
2021-03-30,3/30,4178444,4178444
2021-03-31,3/31,4275714,4275714
2021-04-01,4/1,4386276,4386276
2021-04-02,4/2,4489338,4489338
2021-04-03,4/3,4570026,4570026
2021-04-04,4/4,4608780,4608780
2021-04-05,4/5,4674795,4674795
2021-04-06,4/6,4754061,4754061
2021-04-07,4/7,4837252,4837252
2021-04-08,4/8,4918363,4918363
2021-04-09,4/9,4995888,4995888
2021-04-10,4/10,5037247,5037247
