Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2117,2117
2020-12-16,12/16,6631,6631
2020-12-17,12/17,11126,11126
2020-12-18,12/18,16911,16911
2020-12-19,12/19,18597,18597
2020-12-20,12/20,19701,19701
2020-12-21,12/21,25973,25973
2020-12-22,12/22,35729,35729
2020-12-23,12/23,49978,49978
2020-12-24,12/24,57217,57217
2020-12-25,12/25,57396,57396
2020-12-26,12/26,61745,61745
2020-12-27,12/27,65582,65582
2020-12-28,12/28,76562,76562
2020-12-29,12/29,87284,87284
2020-12-30,12/30,100099,100099
2020-12-31,12/31,107334,107334
2021-01-01,1/1,107500,107500
2021-01-02,1/2,111312,111312
2021-01-03,1/3,114856,114856
2021-01-04,1/4,127827,127827
2021-01-05,1/5,143866,143866
2021-01-06,1/6,165401,165401
2021-01-07,1/7,186912,186912
2021-01-08,1/8,208717,208717
2021-01-09,1/9,217805,217805
2021-01-10,1/10,226595,226595
2021-01-11,1/11,259515,259515
2021-01-12,1/12,295120,295120
2021-01-13,1/13,335794,335794
2021-01-14,1/14,376502,376502
2021-01-15,1/15,408879,408879
2021-01-16,1/16,441175,441175
2021-01-17,1/17,466458,466458
2021-01-18,1/18,495553,495553
2021-01-19,1/19,538857,538857
2021-01-20,1/20,582625,582625
2021-01-21,1/21,615689,615689
2021-01-22,1/22,644202,644202
2021-01-23,1/23,662698,662698
2021-01-24,1/24,673032,673032
2021-01-25,1/25,697361,697361
2021-01-26,1/26,724234,724234
2021-01-27,1/27,756684,756684
2021-01-28,1/28,798530,798530
2021-01-29,1/29,840979,840979
2021-01-30,1/30,862369,862369
2021-01-31,1/31,877403,877403
2021-02-01,2/1,883737,883737
2021-02-02,2/2,895726,895726
2021-02-03,2/3,931420,931420
2021-02-04,2/4,976721,976721
2021-02-05,2/5,1022888,1022888
2021-02-06,2/6,1055287,1055287
2021-02-07,2/7,1075369,1075369
2021-02-08,2/8,1113416,1113416
2021-02-09,2/9,1157331,1157331
