Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,76,76
2020-12-15,12/15,2110,2110
2020-12-16,12/16,6619,6619
2020-12-17,12/17,11105,11105
2020-12-18,12/18,16864,16864
2020-12-19,12/19,18549,18549
2020-12-20,12/20,19647,19647
2020-12-21,12/21,25912,25912
2020-12-22,12/22,35626,35626
2020-12-23,12/23,49842,49842
2020-12-24,12/24,57075,57075
2020-12-25,12/25,57254,57254
2020-12-26,12/26,61602,61602
2020-12-27,12/27,65434,65434
2020-12-28,12/28,76380,76380
2020-12-29,12/29,87054,87054
2020-12-30,12/30,99851,99851
2020-12-31,12/31,107077,107077
2021-01-01,1/1,107237,107237
2021-01-02,1/2,111038,111038
2021-01-03,1/3,114576,114576
2021-01-04,1/4,127524,127524
2021-01-05,1/5,143488,143488
2021-01-06,1/6,164875,164875
2021-01-07,1/7,186224,186224
2021-01-08,1/8,207851,207851
2021-01-09,1/9,216886,216886
2021-01-10,1/10,225628,225628
2021-01-11,1/11,258340,258340
2021-01-12,1/12,293921,293921
2021-01-13,1/13,334579,334579
2021-01-14,1/14,375186,375186
2021-01-15,1/15,407384,407384
2021-01-16,1/16,439579,439579
2021-01-17,1/17,464732,464732
2021-01-18,1/18,493686,493686
2021-01-19,1/19,535848,535848
2021-01-20,1/20,580546,580546
2021-01-21,1/21,613510,613510
2021-01-22,1/22,641910,641910
2021-01-23,1/23,660395,660395
2021-01-24,1/24,670729,670729
2021-01-25,1/25,694740,694740
2021-01-26,1/26,721551,721551
2021-01-27,1/27,753889,753889
2021-01-28,1/28,795604,795604
2021-01-29,1/29,838083,838083
2021-01-30,1/30,859933,859933
2021-01-31,1/31,875472,875472
2021-02-01,2/1,881770,881770
2021-02-02,2/2,893568,893568
2021-02-03,2/3,929795,929795
2021-02-04,2/4,975111,975111
2021-02-05,2/5,1021220,1021220
2021-02-06,2/6,1054525,1054525
2021-02-07,2/7,1074382,1074382
2021-02-08,2/8,1113788,1113788
2021-02-09,2/9,1158113,1158113
2021-02-10,2/10,1205780,1205780
2021-02-11,2/11,1265459,1265459
2021-02-12,2/12,1332179,1332179
2021-02-13,2/13,1383814,1383814
2021-02-14,2/14,1422650,1422650
2021-02-15,2/15,1444747,1444747
2021-02-16,2/16,1484445,1484445
2021-02-17,2/17,1521573,1521573
2021-02-18,2/18,1557068,1557068
2021-02-19,2/19,1592737,1592737
2021-02-20,2/20,1628248,1628248
2021-02-21,2/21,1651474,1651474
2021-02-22,2/22,1675397,1675397
2021-02-23,2/23,1713710,1713710
2021-02-24,2/24,1768078,1768078
2021-02-25,2/25,1850716,1850716
2021-02-26,2/26,1942671,1942671
2021-02-27,2/27,2014974,2014974
2021-02-28,2/28,2072147,2072147
2021-03-01,3/1,2122508,2122508
2021-03-02,3/2,2180531,2180531
2021-03-03,3/3,2243439,2243439
2021-03-04,3/4,2324553,2324553
2021-03-05,3/5,2409557,2409557
2021-03-06,3/6,2479000,2479000
2021-03-07,3/7,2534891,2534891
2021-03-08,3/8,2596394,2596394
2021-03-09,3/9,2654240,2654240
2021-03-10,3/10,2724055,2724055
2021-03-11,3/11,2806712,2806712
2021-03-12,3/12,2889016,2889016
2021-03-13,3/13,2958053,2958053
2021-03-14,3/14,3007015,3007015
2021-03-15,3/15,3060492,3060492
2021-03-16,3/16,3122101,3122101
2021-03-17,3/17,3191574,3191574
2021-03-18,3/18,3271360,3271360
2021-03-19,3/19,3349257,3349257
2021-03-20,3/20,3405006,3405006
2021-03-21,3/21,3439107,3439107
2021-03-22,3/22,3484164,3484164
2021-03-23,3/23,3540735,3540735
2021-03-24,3/24,3606170,3606170
2021-03-25,3/25,3683815,3683815
2021-03-26,3/26,3746196,3746196
2021-03-27,3/27,3779948,3779948
