Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Calculation1)-alias
White,White,STATEN ISLAND,Staten Island,0.3126263116192648
Latino,Latino,STATEN ISLAND,Staten Island,0.1989026972188932
Black,Black,STATEN ISLAND,Staten Island,0.1867912003332701
Asian,Asian,STATEN ISLAND,Staten Island,0.4011514916779545
White,White,QUEENS,Queens,0.2809728246775802
Latino,Latino,QUEENS,Queens,0.1998934539867744
Black,Black,QUEENS,Queens,0.1679074166442776
Asian,Asian,QUEENS,Queens,0.3676289649616982
White,White,MANHATTAN,Manhattan,0.3905964098761343
Latino,Latino,MANHATTAN,Manhattan,0.2391601533092105
Black,Black,MANHATTAN,Manhattan,0.2240615290933894
Asian,Asian,MANHATTAN,Manhattan,0.3423575000936133
White,White,BROOKLYN,Brooklyn,0.2668265949390946
Latino,Latino,BROOKLYN,Brooklyn,0.1783121444932963
Black,Black,BROOKLYN,Brooklyn,0.1697804049008882
Asian,Asian,BROOKLYN,Brooklyn,0.3440472138613509
White,White,THE BRONX,Bronx,0.2958541222657507
Latino,Latino,THE BRONX,Bronx,0.170830216987623
Black,Black,THE BRONX,Bronx,0.1789192040024553
Asian,Asian,THE BRONX,Bronx,0.3211528329365711
White,White,%all%,%all%,0.3138980925807898
Latino,Latino,%all%,%all%,0.1932959757838566
Black,Black,%all%,%all%,0.1779831717292142
Asian,Asian,%all%,%all%,0.3564700557107276
