Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4912652731495508
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6461146048638904
STATEN ISLAND,Staten Island,65to74,65 to 74,0.6622087914443088
STATEN ISLAND,Staten Island,55to64,55 to 64,0.4787388477241796
STATEN ISLAND,Staten Island,45to54,45 to 54,0.333338527706788
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2599283469091155
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1926791205055702
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1253779171390652
STATEN ISLAND,Staten Island,%all%,%all%,0.365331375714702
QUEENS,Queens,85andUp,85+,0.4169282010102453
QUEENS,Queens,75to84,75 to 84,0.5244297821055944
QUEENS,Queens,65to74,65 to 74,0.578372130542176
QUEENS,Queens,55to64,55 to 64,0.43202492672789
QUEENS,Queens,45to54,45 to 54,0.321626672848974
QUEENS,Queens,35to44,35 to 44,0.2693146943407199
QUEENS,Queens,25to34,25 to 34,0.211741778744328
QUEENS,Queens,18to24,18 to 24,0.1286413772611865
QUEENS,Queens,%all%,%all%,0.3350316932993275
MANHATTAN,Manhattan,85andUp,85+,0.5332496573809754
MANHATTAN,Manhattan,75to84,75 to 84,0.666689421551886
MANHATTAN,Manhattan,65to74,65 to 74,0.6828706131653978
MANHATTAN,Manhattan,55to64,55 to 64,0.529640962559947
MANHATTAN,Manhattan,45to54,45 to 54,0.3988823700344707
MANHATTAN,Manhattan,35to44,35 to 44,0.3256350946805998
MANHATTAN,Manhattan,25to34,25 to 34,0.2857838833174193
MANHATTAN,Manhattan,18to24,18 to 24,0.204101252010213
MANHATTAN,Manhattan,%all%,%all%,0.4049096023803328
BROOKLYN,Brooklyn,85andUp,85+,0.3398391526088662
BROOKLYN,Brooklyn,75to84,75 to 84,0.4622120550154228
BROOKLYN,Brooklyn,65to74,65 to 74,0.5066756087004086
BROOKLYN,Brooklyn,55to64,55 to 64,0.3671233835546923
BROOKLYN,Brooklyn,45to54,45 to 54,0.2856219063805584
BROOKLYN,Brooklyn,35to44,35 to 44,0.2416630817964949
BROOKLYN,Brooklyn,25to34,25 to 34,0.207096827723539
BROOKLYN,Brooklyn,18to24,18 to 24,0.104432620106281
BROOKLYN,Brooklyn,%all%,%all%,0.2861555902984497
THE BRONX,Bronx,85andUp,85+,0.3761814746855001
THE BRONX,Bronx,75to84,75 to 84,0.5158692196690482
THE BRONX,Bronx,65to74,65 to 74,0.5838045497219038
THE BRONX,Bronx,55to64,55 to 64,0.4389165909527134
THE BRONX,Bronx,45to54,45 to 54,0.297074775094845
THE BRONX,Bronx,35to44,35 to 44,0.2082035508481745
THE BRONX,Bronx,25to34,25 to 34,0.1288257215507543
THE BRONX,Bronx,18to24,18 to 24,0.0757705035494315
THE BRONX,Bronx,%all%,%all%,0.2816049614207378
%all%,%all%,85andUp,85+,0.4189104606064671
%all%,%all%,75to84,75 to 84,0.5448598081409468
%all%,%all%,65to74,65 to 74,0.5851278876452952
%all%,%all%,55to64,55 to 64,0.4354503631087648
%all%,%all%,45to54,45 to 54,0.3223754409889436
%all%,%all%,35to44,35 to 44,0.2619776832913187
%all%,%all%,25to34,25 to 34,0.2147005558405041
%all%,%all%,18to24,18 to 24,0.1263483557170544
%all%,%all%,%all%,%all%,0.3280553466678097
