Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3136616952952332
Latino,Latino,STATEN ISLAND,Staten Island,0.2134863151244387
Black,Black,STATEN ISLAND,Staten Island,0.1933484031243706
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.4817398440705786
White,White,QUEENS,Queens,0.3348076299950829
Latino,Latino,QUEENS,Queens,0.2623920631323687
Black,Black,QUEENS,Queens,0.2012597349495394
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.4754766996368334
White,White,MANHATTAN,Manhattan,0.4836517236085326
Latino,Latino,MANHATTAN,Manhattan,0.3011880120315372
Black,Black,MANHATTAN,Manhattan,0.2696847536740615
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.5260605007740892
White,White,BROOKLYN,Brooklyn,0.3062709026547169
Latino,Latino,BROOKLYN,Brooklyn,0.2232058865487234
Black,Black,BROOKLYN,Brooklyn,0.1969930031316311
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.4579872778706844
White,White,THE BRONX,Bronx,0.3353795569031989
Latino,Latino,THE BRONX,Bronx,0.198470667467324
Black,Black,THE BRONX,Bronx,0.1968817276624199
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3677087723268207
White,White,%all%,%all%,0.3650185534844458
Latino,Latino,%all%,%all%,0.2380773975796236
Black,Black,%all%,%all%,0.2057925960978132
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.4744585544266488
