Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3682633569623288
Latino,Latino,STATEN ISLAND,Staten Island,0.2897064464450913
Black,Black,STATEN ISLAND,Staten Island,0.2597748483695531
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.6069328018445788
White,White,QUEENS,Queens,0.4017819130003862
Latino,Latino,QUEENS,Queens,0.3817957738846404
Black,Black,QUEENS,Queens,0.2623631669610066
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.624144285593064
White,White,MANHATTAN,Manhattan,0.560753877823566
Latino,Latino,MANHATTAN,Manhattan,0.3922843666522901
Black,Black,MANHATTAN,Manhattan,0.3434666203395917
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.6636732350329932
White,White,BROOKLYN,Brooklyn,0.3655143912254533
Latino,Latino,BROOKLYN,Brooklyn,0.3167224543550578
Black,Black,BROOKLYN,Brooklyn,0.2602172421137327
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.6228029320288202
White,White,THE BRONX,Bronx,0.4014334841713855
Latino,Latino,THE BRONX,Bronx,0.2778261439615405
Black,Black,THE BRONX,Bronx,0.2574097283708614
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.4869008234448706
White,White,%all%,%all%,0.4308144442754148
Latino,Latino,%all%,%all%,0.3326676541824319
Black,Black,%all%,%all%,0.2691680797087162
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.623137830910426
