Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,M,Male,0.3491923704916324
STATEN ISLAND,Staten Island,F,Female,0.3850299018063848
QUEENS,Queens,M,Male,0.3170266584852459
QUEENS,Queens,F,Female,0.3519808906742648
MANHATTAN,Manhattan,M,Male,0.3902814583389588
MANHATTAN,Manhattan,F,Female,0.4225442340344425
BROOKLYN,Brooklyn,M,Male,0.2713049300722493
BROOKLYN,Brooklyn,F,Female,0.3010408768535668
THE BRONX,Bronx,M,Male,0.2720224089099955
THE BRONX,Bronx,F,Female,0.2974663529203984
%all%,%all%,M,Male,0.3135748935243782
%all%,%all%,F,Female,0.3440929424539151
