Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Calculation1)-alias
STATEN ISLAND,Staten Island,85andUp,85+,0.4950015146925174
STATEN ISLAND,Staten Island,75to84,75 to 84,0.6480935837108054
STATEN ISLAND,Staten Island,65to74,65 to 74,0.665166420197604
STATEN ISLAND,Staten Island,55to64,55 to 64,0.4861636171177984
STATEN ISLAND,Staten Island,45to54,45 to 54,0.3389796172785639
STATEN ISLAND,Staten Island,35to44,35 to 44,0.2634096055700139
STATEN ISLAND,Staten Island,25to34,25 to 34,0.1955685347425022
STATEN ISLAND,Staten Island,18to24,18 to 24,0.1275708963893866
STATEN ISLAND,Staten Island,%all%,%all%,0.36949303951933
QUEENS,Queens,85andUp,85+,0.4206666856225375
QUEENS,Queens,75to84,75 to 84,0.529341128885226
QUEENS,Queens,65to74,65 to 74,0.5836278377282064
QUEENS,Queens,55to64,55 to 64,0.4404415561737232
QUEENS,Queens,45to54,45 to 54,0.3296148426654864
QUEENS,Queens,35to44,35 to 44,0.2754357037809955
QUEENS,Queens,25to34,25 to 34,0.2161280082013539
QUEENS,Queens,18to24,18 to 24,0.1310165239250381
QUEENS,Queens,%all%,%all%,0.3408975899042752
MANHATTAN,Manhattan,85andUp,85+,0.5362376834311866
MANHATTAN,Manhattan,75to84,75 to 84,0.669877255861685
MANHATTAN,Manhattan,65to74,65 to 74,0.6864969657820508
MANHATTAN,Manhattan,55to64,55 to 64,0.538802664566186
MANHATTAN,Manhattan,45to54,45 to 54,0.4087132303827525
MANHATTAN,Manhattan,35to44,35 to 44,0.3348311711661515
MANHATTAN,Manhattan,25to34,25 to 34,0.293084931431368
MANHATTAN,Manhattan,18to24,18 to 24,0.2077612955589194
MANHATTAN,Manhattan,%all%,%all%,0.4119758908392248
BROOKLYN,Brooklyn,85andUp,85+,0.3437034131031777
BROOKLYN,Brooklyn,75to84,75 to 84,0.4672654484769504
BROOKLYN,Brooklyn,65to74,65 to 74,0.511826790903859
BROOKLYN,Brooklyn,55to64,55 to 64,0.3751518014943917
BROOKLYN,Brooklyn,45to54,45 to 54,0.2926098467663848
BROOKLYN,Brooklyn,35to44,35 to 44,0.2488030258166521
BROOKLYN,Brooklyn,25to34,25 to 34,0.2127261238913201
BROOKLYN,Brooklyn,18to24,18 to 24,0.1060012265454004
BROOKLYN,Brooklyn,%all%,%all%,0.2920527917225374
THE BRONX,Bronx,85andUp,85+,0.3791133446920418
THE BRONX,Bronx,75to84,75 to 84,0.5207577472998526
THE BRONX,Bronx,65to74,65 to 74,0.5902301013421564
THE BRONX,Bronx,55to64,55 to 64,0.4489758227641009
THE BRONX,Bronx,45to54,45 to 54,0.3043935587435471
THE BRONX,Bronx,35to44,35 to 44,0.212885731055144
THE BRONX,Bronx,25to34,25 to 34,0.1315890114625713
THE BRONX,Bronx,18to24,18 to 24,0.077178877221354
THE BRONX,Bronx,%all%,%all%,0.2868448699193939
%all%,%all%,85andUp,85+,0.4223977019973399
%all%,%all%,75to84,75 to 84,0.549247348034036
%all%,%all%,65to74,65 to 74,0.5900402757392582
%all%,%all%,55to64,55 to 64,0.4440946607703788
%all%,%all%,45to54,45 to 54,0.3301627196920105
%all%,%all%,35to44,35 to 44,0.2686827231099141
%all%,%all%,25to34,25 to 34,0.2198734379412536
%all%,%all%,18to24,18 to 24,0.1285479643088444
%all%,%all%,%all%,%all%,0.3339840077988215
