Age Group (group)-value,Age Group (group)-alias,Race/ Ethnicity-value,Race/ Ethnicity-alias,Residency -value,Residency -alias,SUM(At least 1 dose)-alias,AGG(% at least 1 dose)-value,AGG(% at least 1 dose)-alias
All ages (includes <18),All ages (includes <18),Other,Other,NYC,NYC,332448,0.1057283180907027,0.1057283180907027
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,NYC,NYC,4880,0.0015519846480732,0.0015519846480732
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,NYC,NYC,9266,0.002946862653493,0.002946862653493
All ages (includes <18),All ages (includes <18),Black,Black,NYC,NYC,419629,0.1334544602226017,0.1334544602226017
All ages (includes <18),All ages (includes <18),Latino,Latino,NYC,NYC,649275,0.2064886951593663,0.2064886951593663
All ages (includes <18),All ages (includes <18),Asian,Asian,NYC,NYC,665368,0.2116067461719567,0.2116067461719567
All ages (includes <18),All ages (includes <18),White,White,NYC,NYC,1063495,0.3382229330538065,0.3382229330538065
All ages (includes <18),All ages (includes <18),Other,Other,Non- NYC,Non- NYC,62281,0.1080427028977462,0.1080427028977462
All ages (includes <18),All ages (includes <18),NH/PI,NH/PI,Non- NYC,Non- NYC,809,0.0014034223381814,0.0014034223381814
All ages (includes <18),All ages (includes <18),AI/AN,AI/AN,Non- NYC,Non- NYC,1421,0.0024650965915399,0.0024650965915399
All ages (includes <18),All ages (includes <18),Black,Black,Non- NYC,Non- NYC,45138,0.078303680470745,0.078303680470745
All ages (includes <18),All ages (includes <18),Latino,Latino,Non- NYC,Non- NYC,67632,0.1173254135672255,0.1173254135672255
All ages (includes <18),All ages (includes <18),Asian,Asian,Non- NYC,Non- NYC,75631,0.1312017736205174,0.1312017736205174
All ages (includes <18),All ages (includes <18),White,White,Non- NYC,Non- NYC,323536,0.5612579105140446,0.5612579105140446
18 to 64 years,18 to 64 years,Other,Other,NYC,NYC,245468,0.1040241621784948,0.1040241621784948
18 to 64 years,18 to 64 years,NH/PI,NH/PI,NYC,NYC,3864,0.0016374817192371,0.0016374817192371
18 to 64 years,18 to 64 years,AI/AN,AI/AN,NYC,NYC,6877,0.0029143275836423,0.0029143275836423
18 to 64 years,18 to 64 years,Black,Black,NYC,NYC,290721,0.1232014293215173,0.1232014293215173
18 to 64 years,18 to 64 years,Latino,Latino,NYC,NYC,505350,0.2141566736067527,0.2141566736067527
18 to 64 years,18 to 64 years,Asian,Asian,NYC,NYC,532683,0.2257398226315739,0.2257398226315739
18 to 64 years,18 to 64 years,White,White,NYC,NYC,774758,0.328326102958782,0.328326102958782
18 to 64 years,18 to 64 years,Other,Other,Non- NYC,Non- NYC,44840,0.1049163757522439,0.1049163757522439
18 to 64 years,18 to 64 years,NH/PI,NH/PI,Non- NYC,Non- NYC,667,0.0015606427882861,0.0015606427882861
18 to 64 years,18 to 64 years,AI/AN,AI/AN,Non- NYC,Non- NYC,1060,0.0024801819424036,0.0024801819424036
18 to 64 years,18 to 64 years,Black,Black,Non- NYC,Non- NYC,35996,0.0842232350931706,0.0842232350931706
18 to 64 years,18 to 64 years,Latino,Latino,Non- NYC,Non- NYC,57164,0.1337520005241139,0.1337520005241139
18 to 64 years,18 to 64 years,Asian,Asian,Non- NYC,Non- NYC,62106,0.1453152638819995,0.1453152638819995
18 to 64 years,18 to 64 years,White,White,Non- NYC,Non- NYC,225555,0.5277523000177824,0.5277523000177824
65+ years,65+ years,Other,Other,NYC,NYC,84150,0.1101645988712547,0.1101645988712547
65+ years,65+ years,NH/PI,NH/PI,NYC,NYC,972,0.0012724894842883,0.0012724894842883
65+ years,65+ years,AI/AN,AI/AN,NYC,NYC,2196,0.0028748836496884,0.0028748836496884
65+ years,65+ years,Black,Black,NYC,NYC,126661,0.1658176857710278,0.1658176857710278
65+ years,65+ years,Latino,Latino,NYC,NYC,139645,0.1828156317216442,0.1828156317216442
65+ years,65+ years,Asian,Asian,NYC,NYC,126760,0.1659472911814646,0.1659472911814646
65+ years,65+ years,White,White,NYC,NYC,283473,0.371107419320632,0.371107419320632
65+ years,65+ years,Other,Other,Non- NYC,Non- NYC,17127,0.1176119157001298,0.1176119157001298
65+ years,65+ years,NH/PI,NH/PI,Non- NYC,Non- NYC,135,0.0009270513586453,0.0009270513586453
65+ years,65+ years,AI/AN,AI/AN,Non- NYC,Non- NYC,351,0.0024103335324777,0.0024103335324777
65+ years,65+ years,Black,Black,Non- NYC,Non- NYC,8959,0.0615218749785405,0.0615218749785405
65+ years,65+ years,Latino,Latino,Non- NYC,Non- NYC,9927,0.0681691765723821,0.0681691765723821
65+ years,65+ years,Asian,Asian,Non- NYC,Non- NYC,12957,0.0889763292886426,0.0889763292886426
65+ years,65+ years,White,White,Non- NYC,Non- NYC,96167,0.6603833185691822,0.6603833185691822
