Date-value,Date-alias,SUM(Total Doses Administered (cumulative))-value,SUM(Total Doses Administered (cumulative))-alias
2020-12-14,12/14,77,77
2020-12-15,12/15,2116,2116
2020-12-16,12/16,6626,6626
2020-12-17,12/17,11119,11119
2020-12-18,12/18,16905,16905
2020-12-19,12/19,18590,18590
2020-12-20,12/20,19694,19694
2020-12-21,12/21,25966,25966
2020-12-22,12/22,35718,35718
2020-12-23,12/23,49962,49962
2020-12-24,12/24,57198,57198
2020-12-25,12/25,57377,57377
2020-12-26,12/26,61725,61725
2020-12-27,12/27,65562,65562
2020-12-28,12/28,76510,76510
2020-12-29,12/29,87183,87183
2020-12-30,12/30,99978,99978
2020-12-31,12/31,107211,107211
2021-01-01,1/1,107375,107375
2021-01-02,1/2,111180,111180
2021-01-03,1/3,114721,114721
2021-01-04,1/4,127685,127685
2021-01-05,1/5,143705,143705
2021-01-06,1/6,165203,165203
2021-01-07,1/7,186639,186639
2021-01-08,1/8,208435,208435
2021-01-09,1/9,217522,217522
2021-01-10,1/10,226298,226298
2021-01-11,1/11,259203,259203
2021-01-12,1/12,294825,294825
2021-01-13,1/13,335625,335625
2021-01-14,1/14,376337,376337
2021-01-15,1/15,408692,408692
2021-01-16,1/16,440984,440984
2021-01-17,1/17,466267,466267
2021-01-18,1/18,495343,495343
2021-01-19,1/19,538555,538555
2021-01-20,1/20,582396,582396
2021-01-21,1/21,615452,615452
2021-01-22,1/22,643947,643947
2021-01-23,1/23,662437,662437
2021-01-24,1/24,672776,672776
2021-01-25,1/25,696787,696787
2021-01-26,1/26,723664,723664
2021-01-27,1/27,756129,756129
2021-01-28,1/28,797953,797953
2021-01-29,1/29,840540,840540
2021-01-30,1/30,862479,862479
2021-01-31,1/31,878091,878091
2021-02-01,2/1,884416,884416
2021-02-02,2/2,896365,896365
2021-02-03,2/3,932945,932945
2021-02-04,2/4,978756,978756
2021-02-05,2/5,1025331,1025331
2021-02-06,2/6,1058997,1058997
2021-02-07,2/7,1079006,1079006
2021-02-08,2/8,1118634,1118634
2021-02-09,2/9,1163240,1163240
2021-02-10,2/10,1211094,1211094
2021-02-11,2/11,1271459,1271459
2021-02-12,2/12,1339263,1339263
2021-02-13,2/13,1391524,1391524
2021-02-14,2/14,1431046,1431046
2021-02-15,2/15,1453718,1453718
2021-02-16,2/16,1493837,1493837
2021-02-17,2/17,1531375,1531375
2021-02-18,2/18,1567520,1567520
2021-02-19,2/19,1604010,1604010
2021-02-20,2/20,1640945,1640945
2021-02-21,2/21,1664540,1664540
2021-02-22,2/22,1688717,1688717
2021-02-23,2/23,1727297,1727297
2021-02-24,2/24,1782885,1782885
2021-02-25,2/25,1866408,1866408
2021-02-26,2/26,1959497,1959497
2021-02-27,2/27,2032649,2032649
2021-02-28,2/28,2090500,2090500
2021-03-01,3/1,2141135,2141135
2021-03-02,3/2,2199344,2199344
2021-03-03,3/3,2262683,2262683
2021-03-04,3/4,2344710,2344710
2021-03-05,3/5,2431125,2431125
2021-03-06,3/6,2501559,2501559
2021-03-07,3/7,2558086,2558086
2021-03-08,3/8,2619854,2619854
2021-03-09,3/9,2677954,2677954
2021-03-10,3/10,2748157,2748157
2021-03-11,3/11,2832264,2832264
2021-03-12,3/12,2916624,2916624
2021-03-13,3/13,2987839,2987839
2021-03-14,3/14,3037906,3037906
2021-03-15,3/15,3091747,3091747
2021-03-16,3/16,3153698,3153698
2021-03-17,3/17,3223462,3223462
2021-03-18,3/18,3304180,3304180
2021-03-19,3/19,3385241,3385241
2021-03-20,3/20,3452530,3452530
2021-03-21,3/21,3500871,3500871
2021-03-22,3/22,3563567,3563567
2021-03-23,3/23,3636868,3636868
2021-03-24,3/24,3718478,3718478
2021-03-25,3/25,3814813,3814813
2021-03-26,3/26,3910043,3910043
2021-03-27,3/27,3991795,3991795
2021-03-28,3/28,4052134,4052134
2021-03-29,3/29,4126537,4126537
2021-03-30,3/30,4210622,4210622
2021-03-31,3/31,4310009,4310009
2021-04-01,4/1,4423346,4423346
2021-04-02,4/2,4530127,4530127
2021-04-03,4/3,4615976,4615976
2021-04-04,4/4,4668052,4668052
2021-04-05,4/5,4751774,4751774
2021-04-06,4/6,4848588,4848588
2021-04-07,4/7,4952198,4952198
2021-04-08,4/8,5067654,5067654
2021-04-09,4/9,5180936,5180936
2021-04-10,4/10,5274344,5274344
2021-04-11,4/11,5337244,5337244
2021-04-12,4/12,5416080,5416080
2021-04-13,4/13,5492757,5492757
2021-04-14,4/14,5575228,5575228
2021-04-15,4/15,5663369,5663369
2021-04-16,4/16,5748564,5748564
2021-04-17,4/17,5817585,5817585
2021-04-18,4/18,5857007,5857007
2021-04-19,4/19,5917848,5917848
2021-04-20,4/20,5983778,5983778
2021-04-21,4/21,6053748,6053748
2021-04-22,4/22,6126527,6126527
2021-04-23,4/23,6196169,6196169
2021-04-24,4/24,6256069,6256069
2021-04-25,4/25,6293193,6293193
2021-04-26,4/26,6340337,6340337
2021-04-27,4/27,6393826,6393826
2021-04-28,4/28,6427404,6427404
