Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.3087358623669104
Latino,Latino,STATEN ISLAND,Staten Island,0.1989187390526877
Black,Black,STATEN ISLAND,Staten Island,0.1815215091539605
Asian & NH/PI,Asian & NH/PI,STATEN ISLAND,Staten Island,0.3969039730693059
White,White,QUEENS,Queens,0.2947256531279883
Latino,Latino,QUEENS,Queens,0.2165019292440137
Black,Black,QUEENS,Queens,0.1757053119513169
Asian & NH/PI,Asian & NH/PI,QUEENS,Queens,0.380815321061667
White,White,MANHATTAN,Manhattan,0.3978211975021711
Latino,Latino,MANHATTAN,Manhattan,0.2549969871024427
Black,Black,MANHATTAN,Manhattan,0.2280426367655807
Asian & NH/PI,Asian & NH/PI,MANHATTAN,Manhattan,0.3540860299055542
White,White,BROOKLYN,Brooklyn,0.2748051130292283
Latino,Latino,BROOKLYN,Brooklyn,0.1907946865447479
Black,Black,BROOKLYN,Brooklyn,0.1716575370941386
Asian & NH/PI,Asian & NH/PI,BROOKLYN,Brooklyn,0.3526656913148929
White,White,THE BRONX,Bronx,0.3152173970538378
Latino,Latino,THE BRONX,Bronx,0.1894516409465334
Black,Black,THE BRONX,Bronx,0.1886764264785917
Asian & NH/PI,Asian & NH/PI,THE BRONX,Bronx,0.3329263768821902
White,White,%all%,%all%,0.3221976768757961
Latino,Latino,%all%,%all%,0.2090307079079644
Black,Black,%all%,%all%,0.1830036652461369
Asian & NH/PI,Asian & NH/PI,%all%,%all%,0.3674789296146122
