Measure Names-value,Measure Names-alias,Measure Values-alias
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_1219631089837469696:qk],Doses Administered by Federal and NY State-run Programs in NYC,"2,477,976"
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_99923633580093443:qk],Doses Administered by NYC-run Programs,"5,353,809"
[federated.136v5nl1e4gid4155ispt03vsxxy (copy)].[sum:Calculation_1027665143044644866:qk],Total Doses Administered,"7,831,785"
