Borough-value,Borough-alias,Demographic -value,Demographic -alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,M,Male,0.234173525812283
STATEN ISLAND,Staten Island,F,Female,0.2660740673334455
QUEENS,Queens,M,Male,0.1961049912641121
QUEENS,Queens,F,Female,0.2217384914511766
MANHATTAN,Manhattan,M,Male,0.2552459883413835
MANHATTAN,Manhattan,F,Female,0.2891124348842286
BROOKLYN,Brooklyn,M,Male,0.1608110116110819
BROOKLYN,Brooklyn,F,Female,0.1836126337510704
THE BRONX,Bronx,M,Male,0.1870193671009582
THE BRONX,Bronx,F,Female,0.2060957536675053
%all%,%all%,M,Male,0.1987787473764826
%all%,%all%,F,Female,0.2241138515619376
