Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5768,5091,0.5824497626981724
STATEN ISLAND,Staten Island,75to84,75 to 84,16742,14946,0.7362680856677954
STATEN ISLAND,Staten Island,65to74,65 to 74,35975,31866,0.7710195246361904
STATEN ISLAND,Staten Island,55to64,55 to 64,43009,35417,0.6503704823831846
STATEN ISLAND,Staten Island,45to54,45 to 54,33586,25764,0.5233746805460326
STATEN ISLAND,Staten Island,35to44,35 to 44,26399,19435,0.4461249873255146
STATEN ISLAND,Staten Island,25to34,25 to 34,22685,15778,0.3505153046246079
STATEN ISLAND,Staten Island,18to24,18 to 24,12971,7236,0.3269555615622869
STATEN ISLAND,Staten Island,<18,<18,2368,758,0.0229958857357638
STATEN ISLAND,Staten Island,%all%,%all%,199503,156291,0.4189980741079883
QUEENS,Queens,85andUp,85+,27676,23776,0.5360948193253834
QUEENS,Queens,75to84,75 to 84,72591,63113,0.661446334100622
QUEENS,Queens,65to74,65 to 74,155338,133458,0.7442215522913208
QUEENS,Queens,55to64,55 to 64,209035,161289,0.6926654079565914
QUEENS,Queens,45to54,45 to 54,188024,132182,0.6237407149418326
QUEENS,Queens,35to44,35 to 44,176785,118076,0.5728441788772416
QUEENS,Queens,25to34,25 to 34,172272,108492,0.4752355478118046
QUEENS,Queens,18to24,18 to 24,72323,34575,0.4139222461921428
QUEENS,Queens,<18,<18,13118,3052,0.0292049132742401
QUEENS,Queens,%all%,%all%,1087162,778013,0.4792785385803314
MANHATTAN,Manhattan,85andUp,85+,24631,22143,0.6184711734685125
MANHATTAN,Manhattan,75to84,75 to 84,64115,58653,0.7486739808526146
MANHATTAN,Manhattan,65to74,65 to 74,115756,105161,0.7831568535322816
MANHATTAN,Manhattan,55to64,55 to 64,133117,111385,0.732039787493692
MANHATTAN,Manhattan,45to54,45 to 54,127131,99667,0.6581396034425548
MANHATTAN,Manhattan,35to44,35 to 44,142824,107143,0.6157620384305836
MANHATTAN,Manhattan,25to34,25 to 34,212046,147147,0.5897744946172798
MANHATTAN,Manhattan,18to24,18 to 24,76555,43848,0.5316786221465176
MANHATTAN,Manhattan,<18,<18,9333,3783,0.0409941069755213
MANHATTAN,Manhattan,%all%,%all%,905508,698930,0.5619316520253096
BROOKLYN,Brooklyn,85andUp,85+,22291,18424,0.4372499019223225
BROOKLYN,Brooklyn,75to84,75 to 84,61779,52335,0.579208895472572
BROOKLYN,Brooklyn,65to74,65 to 74,134908,113832,0.6416765361985892
BROOKLYN,Brooklyn,55to64,55 to 64,162323,124193,0.5680893135247694
BROOKLYN,Brooklyn,45to54,45 to 54,152927,109410,0.517754243887245
BROOKLYN,Brooklyn,35to44,35 to 44,174831,122850,0.4883738470219506
BROOKLYN,Brooklyn,25to34,25 to 34,210370,139164,0.4475567025004202
BROOKLYN,Brooklyn,18to24,18 to 24,64627,31647,0.3109641973649383
BROOKLYN,Brooklyn,<18,<18,9570,2641,0.0166416486596644
BROOKLYN,Brooklyn,%all%,%all%,993626,714496,0.3881498634909214
THE BRONX,Bronx,85andUp,85+,12969,11184,0.4874797707030626
THE BRONX,Bronx,75to84,75 to 84,37002,32428,0.6391706692403604
THE BRONX,Bronx,65to74,65 to 74,78056,67385,0.7408461702665082
THE BRONX,Bronx,55to64,55 to 64,109646,87560,0.6708969167830876
THE BRONX,Bronx,45to54,45 to 54,91934,68024,0.528550711673043
THE BRONX,Bronx,35to44,35 to 44,73734,50928,0.4114849527779376
THE BRONX,Bronx,25to34,25 to 34,60396,39780,0.2661748923669856
THE BRONX,Bronx,18to24,18 to 24,31057,16228,0.224306980148193
THE BRONX,Bronx,<18,<18,5020,1245,0.0143738162342235
THE BRONX,Bronx,%all%,%all%,499814,374762,0.3517288931827592
%all%,%all%,85andUp,85+,93335,80618,0.5216052487453756
%all%,%all%,75to84,75 to 84,252229,221475,0.659121381592597
%all%,%all%,65to74,65 to 74,520033,451702,0.7234788778441698
%all%,%all%,55to64,55 to 64,657130,519844,0.6578375590476448
%all%,%all%,45to54,45 to 54,593602,435047,0.5773849878463594
%all%,%all%,35to44,35 to 44,594573,418432,0.5229746346663664
%all%,%all%,25to34,25 to 34,677769,450361,0.4568103099078722
%all%,%all%,18to24,18 to 24,257533,133534,0.3654656770770735
%all%,%all%,<18,<18,39409,11479,0.0231256893238427
%all%,%all%,%all%,%all%,3685613,2722492,0.4420887492192764
