Demo (group)-value,Demo (group)-alias,Borough-value,Borough-alias,AGG(Select indicator %)-alias
White,White,STATEN ISLAND,Staten Island,0.2155056029271285
Latino,Latino,STATEN ISLAND,Staten Island,0.1087569665380537
Black,Black,STATEN ISLAND,Staten Island,0.1097782055012198
Asian,Asian,STATEN ISLAND,Staten Island,0.2403331700146987
White,White,QUEENS,Queens,0.2013409953330859
Latino,Latino,QUEENS,Queens,0.1200491785582146
Black,Black,QUEENS,Queens,0.1135623672763961
Asian,Asian,QUEENS,Queens,0.2419451355445427
White,White,MANHATTAN,Manhattan,0.2924886011997217
Latino,Latino,MANHATTAN,Manhattan,0.1616099102362246
Black,Black,MANHATTAN,Manhattan,0.1541320153116585
Asian,Asian,MANHATTAN,Manhattan,0.2365594143271886
White,White,BROOKLYN,Brooklyn,0.1692174810999631
Latino,Latino,BROOKLYN,Brooklyn,0.1073583926529785
Black,Black,BROOKLYN,Brooklyn,0.1074273033001764
Asian,Asian,BROOKLYN,Brooklyn,0.20788761882673
White,White,THE BRONX,Bronx,0.2194062374755085
Latino,Latino,THE BRONX,Bronx,0.1049208822334629
Black,Black,THE BRONX,Bronx,0.1149611933060718
Asian,Asian,THE BRONX,Bronx,0.2097300354668954
White,White,%all%,%all%,0.218413587593625
Latino,Latino,%all%,%all%,0.1190721202843715
Black,Black,%all%,%all%,0.1156711840196993
Asian,Asian,%all%,%all%,0.2306466395029131
